North Carolina St.,11/15/2008,59,65,Home,,-,"1,300"
Nicholls St.,11/19/2008,62,79,Away,,-,837
Savannah St.,11/22/2008,44,54,Away,,-,644
Colorado St.,11/26/2008,60,78,Away,,-,"2,687"
Southern U.,11/29/2008,61,57,Home,,-,851
Tulane,12/03/2008,49,39,Home,,-,"1,085"
Ole Miss,12/06/2008,65,78,Home,,-,"1,039"
Houston Baptist,12/13/2008,77,73,Away,,-,"1,100"
Texas St.,12/15/2008,85,81,Away,,-,913
La.-Monroe,12/19/2008,66,72,Away,,-,804
North Texas,12/22/2008,71,65,Home,,-,659
South Dakota,12/28/2008,66,74,Home,,-,562
Denver,01/01/2009,54,52,Home,,-,433
Arkansas St.,01/03/2009,56,71,Away,,-,"3,497"
La.-Lafayette,01/08/2009,61,58,Home,,-,625
UALR,01/10/2009,46,62,Home,,-,724
Loyola (LA),01/12/2009,77,56,Home,,-,556
Western Ky.,01/17/2009,60,70,Away,,-,"5,042"
Troy,01/22/2009,72,83,Away,,-,"2,015"
Middle Tenn.,01/24/2009,69,65,Home,,-,"1,019"
FIU,01/29/2009,54,64,Home,,-,520
South Ala.,01/31/2009,53,56,Away,,-,"3,727"
Fla. Atlantic,02/05/2009,75,68,Home,,-,519
La.-Monroe,02/07/2009,56,61,Home,,-,739
North Texas,02/12/2009,69,79,Away,,-,"2,648"
Denver,02/14/2009,49,59,Away,,-,"3,198"
Arkansas St.,02/19/2009,73,63,Home,,-,512
La.-Lafayette,02/22/2009,60,76,Away,,-,"2,641"
UALR,02/26/2009,54,80,Away,,-,"4,171"
South Ala.,03/04/2009,60,62,Away,,-,"2,228"
