Cal St. East Bay,11/14/2008,68,40,Home,,-,"1,782"
UAB,11/17/2008,61,64,Neutral,"Tucson, AZ",-,"13,006"
Fla. Atlantic,11/18/2008,61,65,Neutral,"Tucson, AZ",-,"13,124"
Georgia,11/24/2008,48,54,Away,,-,"4,599"
Arizona,11/25/2008,66,69,Neutral,"Athens, GA",-,"4,207"
Montana,11/30/2008,71,68,Away,,-,"3,176"
San Jose St.,12/03/2008,59,56,Away,,-,"2,046"
Sacramento St.,12/06/2008,51,32,Home,,-,"1,620"
Notre Dame de Namur,12/13/2008,67,47,Home,,-,"1,577"
UNLV,12/17/2008,66,78,Away,,-,"10,339"
Pacific,12/20/2008,57,63,Away,,-,"2,688"
Stanford,12/23/2008,69,77,Home,,-,"3,146"
Belmont,12/29/2008,83,80,Home,,-,"1,840"
UTEP,12/30/2008,89,88,Home,,1 OT,"1,833"
Harvard,01/02/2009,68,73,Away,,-,499
New Hampshire,01/04/2009,54,58,Away,,-,865
St. Mary's (CA),01/09/2009,62,63,Away,,-,"3,500"
San Diego,01/11/2009,50,55,Home,,-,"2,155"
Gonzaga,01/15/2009,53,95,Away,,-,"6,000"
Portland,01/17/2009,52,53,Away,,-,"2,104"
San Francisco,01/23/2009,70,54,Home,,-,"2,506"
Houston Baptist,01/25/2009,85,59,Home,,-,"1,652"
Loyola Marymount,01/29/2009,82,56,Home,,-,"1,922"
Pepperdine,01/31/2009,64,52,Home,,-,"2,393"
San Diego,02/05/2009,64,62,Away,,1 OT,"2,360"
St. Mary's (CA),02/07/2009,70,52,Home,,-,"4,700"
Pepperdine,02/12/2009,60,66,Away,,-,"1,039"
Loyola Marymount,02/14/2009,69,64,Away,,-,"2,411"
San Francisco,02/21/2009,66,67,Away,,1 OT,"3,471"
Gonzaga,02/26/2009,73,81,Home,,-,"4,700"
Portland,02/28/2009,67,65,Home,,1 OT,"2,830"
San Diego,03/07/2009,80,69,Neutral,"Las Vegas, NV",-,"7,845"
Gonzaga,03/08/2009,59,94,Neutral,"Las Vegas, NV",-,"7,845"
