UC Irvine,11/15/2008,78,55,Home,,-,"4,089"
New Mexico St.,11/18/2008,73,60,Home,,-,"5,618"
Seton Hall,11/20/2008,61,63,Neutral,"San Juan, PR",-,"3,217"
Chattanooga,11/21/2008,73,46,Neutral,"San Juan, PR",-,"6,733"
Missouri,11/23/2008,72,83,Neutral,"San Juan, PR",-,"8,242"
UT Martin,11/28/2008,70,43,Home,,-,"3,376"
San Francisco,12/01/2008,74,69,Home,,-,"2,514"
Oklahoma,12/04/2008,72,73,Away,,-,"11,499"
Pepperdine,12/15/2008,91,77,Home,,-,"4,032"
North Dakota St.,12/20/2008,61,57,Home,,-,"3,475"
Georgia Tech,12/22/2008,76,57,Home,,-,"4,121"
Oral Roberts,12/28/2008,66,56,Home,,-,"3,263"
Oregon,01/02/2009,83,62,Away,,-,"7,664"
Oregon St.,01/04/2009,58,62,Away,,1 OT,"4,719"
UCLA,01/11/2009,60,64,Home,,-,"10,258"
Arizona St.,01/15/2009,61,49,Home,,-,"6,235"
Arizona,01/17/2009,65,64,Home,,-,"5,356"
Washington,01/22/2009,73,78,Away,,-,"10,000"
Washington St.,01/24/2009,46,44,Away,,-,"8,974"
Stanford,01/29/2009,70,69,Home,,-,"7,963"
California,01/31/2009,73,62,Home,,-,"9,074"
UCLA,02/04/2009,60,76,Away,,-,"12,179"
Arizona,02/12/2009,76,83,Away,,-,"14,728"
Arizona St.,02/15/2009,53,65,Away,,-,"11,621"
Washington St.,02/19/2009,61,51,Home,,-,"6,352"
Washington,02/21/2009,51,60,Home,,-,"7,325"
California,02/26/2009,78,81,Away,,1 OT,"10,027"
Stanford,02/28/2009,63,75,Away,,-,"7,329"
Oregon,03/05/2009,80,66,Home,,-,"5,853"
Oregon St.,03/07/2009,68,52,Home,,-,"6,603"
California,03/12/2009,79,75,Neutral,"Los Angeles, CA",-,"16,271"
UCLA,03/13/2009,65,55,Neutral,"Los Angeles, CA",-,"18,497"
Arizona St.,03/14/2009,66,63,Neutral,"Los Angeles, CA",-,"16,988"
Boston College,03/20/2009,72,55,Neutral,"Minneapolis, MN",-,"12,814"
Michigan St.,03/22/2009,69,74,Neutral,"Minneapolis, MN",-,"14,279"
