Stevenson,11/15/2008,91,54,Home,,-,"3,114"
Morgan St.,11/17/2008,60,67,Away,,-,"1,467"
Quinnipiac,11/21/2008,76,71,Neutral,"New York, NY",-,"1,086"
Columbia,11/22/2008,66,52,Away,,-,747
George Washington,11/26/2008,64,70,Away,,-,"2,103"
Toledo,11/29/2008,61,56,Home,,-,"2,116"
Towson,12/03/2008,65,82,Home,,-,"3,087"
Central Conn. St.,12/10/2008,67,56,Home,,-,"2,042"
Pittsburgh,12/13/2008,56,91,Away,,-,"10,188"
American,12/20/2008,61,74,Home,,-,"1,470"
Nebraska,12/23/2008,66,64,Away,,-,"8,293"
Saint Louis,12/30/2008,60,81,Away,,-,"7,820"
Stony Brook,01/03/2009,61,69,Home,,-,"2,058"
Maine,01/10/2009,61,59,Home,,-,"1,238"
New Hampshire,01/14/2009,47,65,Away,,-,601
Hartford,01/17/2009,69,60,Home,,-,"2,464"
Vermont,01/19/2009,42,76,Away,,-,"2,534"
Boston U.,01/22/2009,77,80,Away,,2 OT,474
Albany (NY),01/25/2009,71,80,Away,,-,"2,381"
Binghamton,01/28/2009,84,78,Home,,-,"1,852"
Stony Brook,01/31/2009,55,56,Away,,-,"1,451"
Boston U.,02/02/2009,65,82,Home,,-,"2,717"
Maine,02/07/2009,73,68,Away,,1 OT,"1,740"
New Hampshire,02/10/2009,81,76,Home,,-,"2,146"
Hartford,02/14/2009,80,63,Away,,-,"1,217"
Vermont,02/17/2009,65,77,Home,,-,"2,902"
Rider,02/21/2009,65,71,Away,,-,"1,421"
Binghamton,02/26/2009,51,71,Away,,-,"5,222"
Albany (NY),03/01/2009,68,64,Home,,-,"3,069"
Boston U.,03/07/2009,79,75,Neutral,"Albany, NY",1 OT,"4,538"
Albany (NY),03/08/2009,64,58,Away,,-,"3,656"
Binghamton,03/14/2009,51,61,Away,,-,"5,342"
