name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Chisholm, Brawley",Sr.,2009-10,G,6-2,30,43,123,0.350,18,58,0.310,32,37,0.865,41,1.367,45,1.500,1,0.033,11,0.367,136,4.533,37
"Davis, Randy",So.,2009-10,G,5-11,30,80,185,0.432,44,100,0.440,104,129,0.806,104,3.467,100,3.333,1,0.033,26,0.867,308,10.267,66
"Fields, Zach",Fr.,2009-10,C,6-10,14,5,12,0.417,0,0,-,0,1,0.000,8,0.571,0,-,1,0.071,0,-,10,0.714,6
"Green, John",Fr.,2009-10,G,6-3,14,5,18,0.278,2,9,0.222,0,0,-,10,0.714,8,0.571,1,0.071,5,0.357,12,0.857,10
"Green, Myron",Fr.,2009-10,G,6-4,27,21,74,0.284,6,22,0.273,27,37,0.730,44,1.630,18,0.667,1,0.037,5,0.185,75,2.778,21
"Harrison, Zach",Fr.,2009-10,G,6-2,2,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Hauser, Will",Fr.,2009-10,F,6-4,2,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Henderson, Franklin",---,2009-10,-,-,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Hubbard, Maurice",So.,2009-10,F,6-6,28,24,66,0.364,0,0,-,1,12,0.083,71,2.536,11,0.393,3,0.107,11,0.393,49,1.750,19
"Jones, Jarrod",So.,2009-10,F,6-9,30,144,326,0.442,0,4,0.000,78,118,0.661,223,7.433,22,0.733,34,1.133,18,0.600,366,12.200,59
"Perry, Malik",Jr.,2009-10,F,6-4,26,71,129,0.550,0,0,-,56,98,0.571,121,4.654,17,0.654,7,0.269,22,0.846,198,7.615,46
"Scaife, Jauwan",Fr.,2009-10,G,6-2,30,93,247,0.377,41,109,0.376,78,100,0.780,77,2.567,50,1.667,0,-,26,0.867,305,10.167,47
"Sneed, Pierre",So.,2009-10,G,6-4,30,47,120,0.392,2,8,0.250,21,30,0.700,72,2.400,28,0.933,3,0.100,11,0.367,117,3.900,52
"Tucker, Adrian",---,2009-10,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Watson, Terrence",Sr.,2009-10,F,6-5,29,84,186,0.452,0,0,-,74,123,0.602,180,6.207,33,1.138,39,1.345,17,0.586,242,8.345,68
