name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Agboola, Tunde",Sr.,2009-10,G,6-4,17,5,10,0.500,1,2,0.500,0,1,0.000,6,0.353,1,0.059,0,-,3,0.176,11,0.647,2
"Bailey, B.J.",Fr.,2009-10,G,6-3,6,6,19,0.316,1,5,0.200,10,12,0.833,13,2.167,4,0.667,0,-,1,0.167,23,3.833,3
"Brittain, Scott",Sr.,2009-10,F,6-9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Griffin, Matt",Jr.,2009-10,G,5-10,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hazel, Patrick",Fr.,2009-10,F,6-6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Holland, John",Jr.,2009-10,G,6-5,35,215,468,0.459,60,168,0.357,183,215,0.851,214,6.114,37,1.057,10,0.286,56,1.600,673,19.229,72
"Kurz, Chris",---,2009-10,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Lowe, Corey",Sr.,2009-10,G,6-2,32,159,424,0.375,75,220,0.341,88,134,0.657,143,4.469,136,4.250,13,0.406,40,1.250,481,15.031,134
"Morris, Tyler",Sr.,2009-10,G,6-2,27,87,233,0.373,41,113,0.363,64,77,0.831,81,3.000,104,3.852,3,0.111,48,1.778,279,10.333,71
"O'Brien, Jake",So.,2009-10,F,6-8,35,165,416,0.397,51,145,0.352,102,132,0.773,225,6.429,16,0.457,42,1.200,22,0.629,483,13.800,61
"Partin, Darryl",Jr.,2009-10,G,6-6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pelage, Jeff",So.,2009-10,C,6-9,35,43,100,0.430,0,0,-,22,54,0.407,196,5.600,7,0.200,26,0.743,15,0.429,108,3.086,45
"Schulze, Michael",Sr.,2009-10,G,6-0,16,1,4,0.250,0,1,0.000,1,3,0.333,5,0.313,2,0.125,0,-,0,-,3,0.188,4
"Sirutis, Valdas",Sr.,2009-10,F,6-7,32,20,60,0.333,7,29,0.241,16,31,0.516,78,2.438,19,0.594,2,0.063,7,0.219,63,1.969,19
"Smith, Sherrod",Sr.,2009-10,F,6-4,29,1,12,0.083,0,2,0.000,3,10,0.300,21,0.724,6,0.207,1,0.034,3,0.103,5,0.172,1
"Strong, Carlos",Sr.,2009-10,G,6-3,35,125,261,0.479,59,125,0.472,73,107,0.682,161,4.600,63,1.800,14,0.400,58,1.657,382,10.914,47
"Sullivan, Brendan",Sr.,2009-10,F,6-7,23,6,26,0.231,5,14,0.357,0,0,-,28,1.217,3,0.130,3,0.130,4,0.174,17,0.739,8
