name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bonham, Jerrald",Sr.,2009-10,F,6-8,29,86,168,0.512,5,17,0.294,71,93,0.763,140,4.828,29,1.000,21,0.724,17,0.586,248,8.552,47
"Davis, Leo",Fr.,2009-10,G,5-11,20,12,42,0.286,7,24,0.292,8,12,0.667,15,0.750,19,0.950,0,-,4,0.200,39,1.950,16
"Maciel, Pedro",Fr.,2009-10,G,6-2,28,59,151,0.391,28,80,0.350,33,45,0.733,52,1.857,84,3.000,2,0.071,32,1.143,179,6.393,55
"Marseille, Matt",Fr.,2009-10,F,6-6,26,64,142,0.451,22,56,0.393,42,69,0.609,99,3.808,18,0.692,10,0.385,23,0.885,192,7.385,45
"Nakwaasah, Maxx",So.,2009-10,G,6-1,29,71,198,0.359,28,85,0.329,38,48,0.792,118,4.069,27,0.931,1,0.034,23,0.793,208,7.172,49
"Nichenko, Matt",Jr.,2009-10,F,6-6,2,1,2,0.500,0,1,0.000,1,4,0.250,1,0.500,0,-,0,-,0,-,3,1.500,0
"Perez, David",So.,2009-10,G,6-3,29,138,322,0.429,65,165,0.394,97,115,0.843,75,2.586,54,1.862,0,-,29,1.000,438,15.103,53
"Sims, Travis",Fr.,2009-10,F,6-6,11,9,29,0.310,2,11,0.182,3,4,0.750,17,1.545,7,0.636,1,0.091,5,0.455,23,2.091,8
"Starring, Daman",Fr.,2009-10,G,6-4,29,111,275,0.404,44,118,0.373,72,92,0.783,103,3.552,66,2.276,5,0.172,46,1.586,338,11.655,70
"Swartz, David",Fr.,2009-10,F,6-8,23,30,74,0.405,12,34,0.353,5,12,0.417,48,2.087,10,0.435,7,0.304,7,0.304,77,3.348,20
"Trotman, Jeron",Fr.,2009-10,F,6-5,24,37,52,0.712,0,0,-,13,22,0.591,55,2.292,3,0.125,18,0.750,4,0.167,87,3.625,10
"Tubner, Roman",Jr.,2009-10,G,6-0,28,66,190,0.347,14,53,0.264,78,113,0.690,73,2.607,66,2.357,0,-,41,1.464,224,8.000,59
