name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bitzer, Jordan",Sr.,2009-10,G,6-2,30,143,353,0.405,72,179,0.402,90,105,0.857,150,5.000,66,2.200,13,0.433,45,1.500,448,14.933,57
"Brown, Tyler",Jr.,2009-10,F,6-7,11,5,11,0.455,0,1,0.000,0,0,-,22,2.000,2,0.182,2,0.182,3,0.273,10,0.909,6
"Craddock, Finis",Fr.,2009-10,G,6-1,24,18,53,0.340,2,14,0.143,14,25,0.560,29,1.208,17,0.708,1,0.042,8,0.333,52,2.167,33
"Day, Sean",Fr.,2009-10,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"DeNIKE, Tyler",---,2009-10,-,-,2,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Estrada, Joe",Fr.,2009-10,G,6-4,3,1,1,1.000,1,1,1.000,0,0,-,0,-,0,-,0,-,0,-,3,1.000,0
"Ford, Brandon",Sr.,2009-10,C,6-10,21,5,10,0.500,0,0,-,4,7,0.571,14,0.667,0,-,2,0.095,2,0.095,14,0.667,6
"Harman, Robbie",Sr.,2009-10,G,5-11,30,148,350,0.423,105,245,0.429,48,63,0.762,67,2.233,91,3.033,5,0.167,56,1.867,449,14.967,60
"Jordan, Nick",So.,2009-10,G,5-11,12,0,2,0.000,0,2,0.000,0,0,-,1,0.083,1,0.083,0,-,0,-,0,-,1
"Kellermann, Chris",Sr.,2009-10,F,6-8,30,67,184,0.364,27,90,0.300,43,60,0.717,127,4.233,13,0.433,8,0.267,13,0.433,204,6.800,31
"McClure, William",Jr.,2009-10,C,6-7,30,33,77,0.429,0,0,-,24,57,0.421,135,4.500,16,0.533,39,1.300,32,1.067,90,3.000,43
"Morris, John",---,2009-10,-,-,9,2,4,0.500,2,2,1.000,0,0,-,1,0.111,0,-,0,-,0,-,6,0.667,0
"Rashid, Amir",Jr.,2009-10,G,5-9,25,44,138,0.319,5,25,0.200,37,61,0.607,43,1.720,57,2.280,1,0.040,33,1.320,130,5.200,44
"Saylor, Zach",Fr.,2009-10,F,6-8,8,1,4,0.250,0,0,-,3,6,0.500,6,0.750,1,0.125,1,0.125,2,0.250,5,0.625,3
"Spica, Marko",Jr.,2009-10,F,6-9,29,76,153,0.497,0,0,-,61,96,0.635,96,3.310,14,0.483,8,0.276,8,0.276,213,7.345,72
"Thomas, Jalin",Jr.,2009-10,F,6-4,27,67,169,0.396,12,43,0.279,54,77,0.701,134,4.963,11,0.407,2,0.074,18,0.667,200,7.407,33
"Weary, Antonio",Jr.,2009-10,G,6-2,22,41,79,0.519,3,13,0.231,28,54,0.519,80,3.636,32,1.455,3,0.136,26,1.182,113,5.136,35
