name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Babbitt, Zach",Jr.,2009-10,F,6-5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Beach, Zach",Sr.,2009-10,G,5-10,1,0,1,0.000,0,1,0.000,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Buske, Brad",So.,2009-10,G,6-2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Cherry, Ben",Fr.,2009-10,G,6-2,20,9,23,0.391,7,19,0.368,1,4,0.250,10,0.500,3,0.150,0,-,1,0.050,26,1.300,1
"Clark, Matt",Jr.,2009-10,F,6-8,11,5,23,0.217,2,11,0.182,1,5,0.200,26,2.364,10,0.909,3,0.273,5,0.455,13,1.182,7
"Conley, Nathan",Fr.,2009-10,G,6-2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Dahn, Austin",Jr.,2009-10,F,6-4,32,73,194,0.376,51,146,0.349,25,30,0.833,62,1.938,43,1.344,0,-,17,0.531,222,6.938,55
"DuPont, Harrison",Fr.,2009-10,F,6-5,30,78,163,0.479,19,51,0.373,33,57,0.579,123,4.100,13,0.433,12,0.400,13,0.433,208,6.933,39
"Eykyn, Daniel",Jr.,2009-10,F,6-4,20,9,26,0.346,2,14,0.143,11,12,0.917,25,1.250,4,0.200,0,-,6,0.300,31,1.550,8
"Fitzpatrick, Tom",So.,2009-10,F,6-8,3,0,2,0.000,0,0,-,3,4,0.750,4,1.333,0,-,0,-,0,-,3,1.000,0
"Grooms, Tripp",Fr.,2009-10,C,6-0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Groselle, Mike",Fr.,2009-10,C,6-8,14,12,18,0.667,0,0,-,8,10,0.800,25,1.786,0,-,0,-,1,0.071,32,2.286,2
"Holston, Bo",So.,2009-10,G,6-4,21,14,38,0.368,2,8,0.250,18,27,0.667,47,2.238,10,0.476,0,-,8,0.381,48,2.286,20
"Keistler, Will",Fr.,2009-10,G,6-3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Kyles, Andrew",Fr.,2009-10,C,6-9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"McNeely, Joe",Fr.,2009-10,G,5-9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Morabbi, Cosmo",So.,2009-10,G,6-2,32,33,95,0.347,25,66,0.379,9,11,0.818,50,1.563,32,1.000,0,-,18,0.563,100,3.125,25
"Pandak, Phillip",Jr.,2009-10,G,6-7,3,1,4,0.250,1,3,0.333,1,2,0.500,0,-,0,-,0,-,0,-,4,1.333,0
"Reynolds, John",Jr.,2009-10,G,6-0,3,0,3,0.000,0,1,0.000,0,0,-,0,-,0,-,1,0.333,0,-,0,-,0
"Streeter, Bryan",Jr.,2009-10,F,6-6,32,67,144,0.465,0,1,0.000,27,57,0.474,150,4.688,23,0.719,8,0.250,23,0.719,161,5.031,27
"Tremblay, Tristan",Fr.,2009-10,C,6-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Urbanus, Zach",Jr.,2009-10,G,6-2,32,111,284,0.391,83,202,0.411,35,45,0.778,95,2.969,77,2.406,1,0.031,22,0.688,340,10.625,45
"Wells, Cameron",Jr.,2009-10,G,6-1,32,196,480,0.408,17,65,0.262,142,164,0.866,181,5.656,132,4.125,12,0.375,47,1.469,551,17.219,69
"Wolfinger, Joe",Sr.,2009-10,C,7-0,32,79,171,0.462,20,59,0.339,33,52,0.635,125,3.906,3,0.094,11,0.344,4,0.125,211,6.594,36
