name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Davis, Justin",Jr.,2009-10,C,6-10,22,7,15,0.467,0,0,-,3,9,0.333,37,1.682,1,0.045,7,0.318,2,0.091,17,0.773,10
"Gantt, Greg",Fr.,2009-10,G,6-2,30,166,390,0.426,85,218,0.390,51,72,0.708,73,2.433,31,1.033,3,0.100,20,0.667,468,15.600,24
"Hughley, Sanchez",Jr.,2009-10,G,6-4,30,114,245,0.465,25,56,0.446,44,68,0.647,131,4.367,18,0.600,4,0.133,40,1.333,297,9.900,48
"Mattison, Andre",Fr.,2009-10,F,6-7,22,5,13,0.385,0,0,-,5,7,0.714,22,1.000,0,-,2,0.091,2,0.091,15,0.682,8
"McCoy, Jordan",Fr.,2009-10,F,6-6,30,46,101,0.455,0,0,-,27,44,0.614,117,3.900,5,0.167,13,0.433,6,0.200,119,3.967,13
"O'Sullivan, Dylan",Fr.,2009-10,G,6-3,10,0,1,0.000,0,0,-,2,2,1.000,0,-,0,-,0,-,0,-,2,0.200,3
"Remmington, Jeff",Jr.,2009-10,G,6-0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Richardson, Shavar",So.,2009-10,G,6-2,30,82,229,0.358,46,125,0.368,42,47,0.894,54,1.800,34,1.133,0,-,10,0.333,252,8.400,33
"Royster, Brett",Jr.,2009-10,F,6-8,30,111,225,0.493,0,0,-,79,121,0.653,223,7.433,14,0.467,90,3.000,17,0.567,301,10.033,44
"Simpson, DeMonte",Fr.,2009-10,F,6-9,23,41,83,0.494,0,0,-,23,44,0.523,103,4.478,9,0.391,7,0.304,3,0.130,105,4.565,24
"Stewart, Darren",Fr.,2009-10,G,6-4,23,2,10,0.200,0,0,-,3,7,0.429,8,0.348,1,0.043,1,0.043,4,0.174,7,0.304,0
"Taylor, Raymond",Fr.,2009-10,G,5-6,30,142,370,0.384,61,158,0.386,82,112,0.732,91,3.033,177,5.900,0,-,43,1.433,427,14.233,93
"Tucker, Alex",So.,2009-10,G,5-11,30,63,142,0.444,3,20,0.150,63,93,0.677,87,2.900,141,4.700,10,0.333,25,0.833,192,6.400,63
"Watson, Chris",So.,2009-10,F,6-6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"White, Kore",So.,2009-10,F,6-8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
