name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Acosta, Nikko",Fr.,2009-10,F,6-8,15,1,8,0.125,0,0,-,1,2,0.500,7,0.467,3,0.200,3,0.200,0,-,3,0.200,3
"Ballard, Joe",---,2009-10,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Bent, Cecil",So.,2009-10,C,6-9,24,24,54,0.444,0,0,-,16,29,0.552,31,1.292,6,0.250,3,0.125,2,0.083,64,2.667,22
"Brown, Isaac",Fr.,2009-10,G,6-3,24,7,40,0.175,1,14,0.071,9,17,0.529,15,0.625,23,0.958,0,-,15,0.625,24,1.000,26
"Bryant, Brandon",So.,2009-10,G,6-3,31,86,238,0.361,46,137,0.336,60,83,0.723,44,1.419,38,1.226,2,0.065,21,0.677,278,8.968,51
"Buchannon, David",So.,2009-10,G,6-1,21,27,64,0.422,12,33,0.364,12,19,0.632,20,0.952,26,1.238,1,0.048,12,0.571,78,3.714,33
"Crowder, Yannick",So.,2009-10,F,6-8,30,83,171,0.485,0,0,-,73,105,0.695,173,5.767,15,0.500,30,1.000,12,0.400,239,7.967,34
"Hughes, Dale",So.,2009-10,G,6-2,29,72,216,0.333,44,141,0.312,38,52,0.731,34,1.172,19,0.655,1,0.034,20,0.690,226,7.793,40
"Jackson, Larry",Jr.,2009-10,F,6-6,29,86,195,0.441,0,3,0.000,86,141,0.610,178,6.138,19,0.655,6,0.207,19,0.655,258,8.897,46
"Jenkins, Rasheem",Jr.,2009-10,G,6-1,31,70,195,0.359,38,117,0.325,46,63,0.730,44,1.419,84,2.710,1,0.032,27,0.871,224,7.226,90
"Maddry, Tyler",---,2009-10,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Stevens, Amin",Fr.,2009-10,F,6-6,31,70,151,0.464,12,36,0.333,25,40,0.625,102,3.290,24,0.774,11,0.355,14,0.452,177,5.710,43
"Taylor, Byron",---,2009-10,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Walker, Christopher",Jr.,2009-10,G,6-6,31,91,216,0.421,19,75,0.253,51,86,0.593,177,5.710,38,1.226,14,0.452,28,0.903,252,8.129,54
"Wallace, Travis",Fr.,2009-10,F,6-6,31,66,133,0.496,0,2,0.000,10,30,0.333,83,2.677,17,0.548,10,0.323,8,0.258,142,4.581,32
