name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Brown, David",So.,2009-10,G,6-2,14,18,52,0.346,12,41,0.293,2,3,0.667,13,0.929,8,0.571,0,-,6,0.429,50,3.571,10
"Burrell, Bryan",Jr.,2009-10,G,6-1,7,2,4,0.500,0,0,-,2,4,0.500,6,0.857,4,0.571,0,-,1,0.143,6,0.857,2
"Engelken, Luke",Jr.,2009-10,F,6-7,13,13,45,0.289,8,34,0.235,2,2,1.000,27,2.077,10,0.769,4,0.308,7,0.538,36,2.769,16
"Flittner, Grayson",Sr.,2009-10,G,6-0,27,77,209,0.368,59,157,0.376,29,41,0.707,54,2.000,58,2.148,1,0.037,33,1.222,242,8.963,39
"Hailey, C.J.",Sr.,2009-10,G,6-2,29,124,280,0.443,26,66,0.394,73,90,0.811,76,2.621,36,1.241,3,0.103,15,0.517,347,11.966,69
"Henley, Joshua",So.,2009-10,F,6-4,29,64,138,0.464,0,1,0.000,10,31,0.323,211,7.276,34,1.172,0,-,11,0.379,138,4.759,47
"Jackson, Brandon",Sr.,2009-10,G,6-0,20,19,45,0.422,0,2,0.000,19,28,0.679,30,1.500,82,4.100,0,-,18,0.900,57,2.850,55
"Johnson, Stefon",Fr.,2009-10,F,6-6,27,52,98,0.531,1,6,0.167,23,39,0.590,89,3.296,13,0.481,13,0.481,16,0.593,128,4.741,37
"MacMillan, Auryn",Sr.,2009-10,C,6-8,27,86,168,0.512,0,0,-,28,55,0.509,123,4.556,12,0.444,33,1.222,10,0.370,200,7.407,42
"Maden, Matt",Sr.,2009-10,C,6-11,16,12,24,0.500,0,0,-,3,6,0.500,24,1.500,1,0.063,4,0.250,2,0.125,27,1.688,14
"Manley, Keith",Fr.,2009-10,F,6-6,8,5,15,0.333,0,8,0.000,0,4,0.000,7,0.875,0,-,0,-,3,0.375,10,1.250,5
"McNair, Brian",Fr.,2009-10,G,6-0,27,36,119,0.303,12,52,0.231,11,21,0.524,46,1.704,70,2.593,8,0.296,27,1.000,95,3.519,40
"Moore, Jonathan",Jr.,2009-10,G,6-4,29,99,219,0.452,28,73,0.384,64,91,0.703,96,3.310,17,0.586,3,0.103,19,0.655,290,10.000,48
"Silver, Anton",Sr.,2009-10,G,6-3,29,109,265,0.411,49,139,0.353,50,79,0.633,100,3.448,41,1.414,3,0.103,18,0.621,317,10.931,60
"Staton, Thomas",Fr.,2009-10,G,6-6,23,23,68,0.338,3,13,0.231,13,18,0.722,30,1.304,28,1.217,1,0.043,15,0.652,62,2.696,32
