name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Ashworth, John",Jr.,2009-10,G,6-3,36,51,136,0.375,27,83,0.325,33,45,0.733,90,2.500,166,4.611,5,0.139,54,1.500,162,4.500,78
"Avery, Jon",Sr.,2009-10,F,6-7,36,124,199,0.623,0,2,0.000,42,79,0.532,159,4.417,34,0.944,37,1.028,40,1.111,290,8.056,28
"DeSchepper, Nick",Jr.,2009-10,G,6-3,10,1,6,0.167,1,5,0.200,4,7,0.571,4,0.400,6,0.600,0,-,2,0.200,7,0.700,2
"Esposito, Sean",Fr.,2009-10,G,6-3,30,24,55,0.436,22,48,0.458,2,2,1.000,24,0.800,18,0.600,1,0.033,8,0.267,72,2.400,8
"Glenn, Robert",Sr.,2009-10,F,6-7,36,259,446,0.581,5,23,0.217,191,253,0.755,240,6.667,62,1.722,50,1.389,44,1.222,714,19.833,109
"Kitcoff, Nick",So.,2009-10,G,6-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Litteral, Zach",Fr.,2009-10,G,6-1,2,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Mazanowski, David",Fr.,2009-10,G,6-3,8,0,2,0.000,0,2,0.000,0,2,0.000,1,0.125,0,-,0,-,0,-,0,-,1
"Nobles, Leroy",Jr.,2009-10,G,6-5,36,145,325,0.446,70,166,0.422,114,144,0.792,154,4.278,55,1.528,6,0.167,29,0.806,474,13.167,71
"Pettiford, Billy",Sr.,2009-10,F,6-7,35,68,156,0.436,3,6,0.500,59,79,0.747,205,5.857,134,3.829,39,1.114,77,2.200,198,5.657,95
"Rice, Greg",Fr.,2009-10,G,5-11,11,13,26,0.500,4,8,0.500,12,18,0.667,12,1.091,15,1.364,1,0.091,4,0.364,42,3.818,21
"Siakam, Christian",So.,2009-10,F,6-7,32,21,38,0.553,0,0,-,9,13,0.692,38,1.188,5,0.156,6,0.188,5,0.156,51,1.594,10
"Thomas, Stephen",---,2009-10,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Williams, Anthony",Jr.,2009-10,F,6-8,13,5,6,0.833,0,0,-,1,2,0.500,3,0.231,0,-,0,-,0,-,11,0.846,3
"Young, Alex",So.,2009-10,F,6-6,36,242,496,0.488,72,182,0.396,104,155,0.671,163,4.528,43,1.194,22,0.611,54,1.500,660,18.333,79
