name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Benbow, Darion",Jr.,2009-10,F,6-7,32,56,114,0.491,0,0,-,31,45,0.689,115,3.594,21,0.656,12,0.375,20,0.625,143,4.469,46
"Delaney, Rob",So.,2009-10,G,6-3,16,1,10,0.100,0,3,0.000,2,2,1.000,3,0.188,0,-,1,0.063,1,0.063,4,0.250,3
"Giese, Levi",Fr.,2009-10,F,6-9,29,13,34,0.382,7,27,0.259,7,12,0.583,25,0.862,5,0.172,13,0.448,7,0.241,40,1.379,18
"Gruner, Michael",Sr.,2009-10,G,6-2,32,72,166,0.434,18,57,0.316,61,82,0.744,87,2.719,88,2.750,7,0.219,50,1.563,223,6.969,57
"Johnson, Tony",Fr.,2009-10,G,6-0,29,38,85,0.447,2,16,0.125,47,60,0.783,59,2.034,44,1.517,1,0.034,29,1.000,125,4.310,31
"Kari, Jeff",Sr.,2009-10,G,6-2,32,88,216,0.407,49,130,0.377,86,115,0.748,90,2.813,77,2.406,3,0.094,38,1.188,311,9.719,48
"Koltun, Marek",Sr.,2009-10,C,6-10,27,12,20,0.600,0,0,-,3,7,0.429,29,1.074,2,0.074,14,0.519,1,0.037,27,1.000,11
"Mintz, Jared",Jr.,2009-10,F,6-8,31,151,281,0.537,3,15,0.200,131,150,0.873,177,5.710,64,2.065,10,0.323,20,0.645,436,14.065,64
"Moore, Andy",So.,2009-10,G,6-1,15,1,8,0.125,0,7,0.000,3,4,0.750,6,0.400,2,0.133,0,-,0,-,5,0.333,2
"Mower, Jim",So.,2009-10,G,6-3,32,149,334,0.446,92,198,0.465,51,63,0.810,65,2.031,61,1.906,4,0.125,14,0.438,441,13.781,33
"Orchowski, Alex",So.,2009-10,F,6-5,16,1,2,0.500,1,2,0.500,2,4,0.500,6,0.375,0,-,0,-,0,-,5,0.313,2
"Pelham, J.D.",So.,2009-10,C,6-10,20,3,9,0.333,1,5,0.200,0,0,-,9,0.450,2,0.100,8,0.400,0,-,7,0.350,4
"Petkovich, Nick",So.,2009-10,G,6-5,22,8,34,0.235,7,27,0.259,0,0,-,15,0.682,8,0.364,1,0.045,3,0.136,23,1.045,3
"Visockas, Deirunas",Jr.,2009-10,G,6-5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Wheeler, Ben",Jr.,2009-10,G,6-3,32,51,117,0.436,31,76,0.408,6,9,0.667,74,2.313,58,1.813,4,0.125,25,0.781,139,4.344,36
"Willen, Ryan",So.,2009-10,F,6-8,32,131,280,0.468,47,128,0.367,82,117,0.701,146,4.563,50,1.563,13,0.406,27,0.844,391,12.219,55
