name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Ajami, Jerard",Jr.,2009-10,G,6-2,34,38,124,0.306,21,71,0.296,22,39,0.564,114,3.353,41,1.206,5,0.147,22,0.647,119,3.500,32
"Averkamp, Jason",Sr.,2009-10,F,6-6,34,59,119,0.496,11,39,0.282,58,78,0.744,121,3.559,24,0.706,11,0.324,8,0.235,187,5.500,31
"Boga, Lonnie",Fr.,2009-10,G,6-3,34,55,122,0.451,22,57,0.386,37,65,0.569,88,2.588,20,0.588,3,0.088,18,0.529,169,4.971,29
"Boyle, Tone",Sr.,2009-10,G,6-3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Eayrs, James",Sr.,2009-10,F,6-7,34,141,342,0.412,49,147,0.333,96,117,0.821,198,5.824,59,1.735,20,0.588,27,0.794,427,12.559,63
"Franklin, Ricky",Sr.,2009-10,G,6-1,34,167,391,0.427,74,212,0.349,92,130,0.708,144,4.235,132,3.882,6,0.176,32,0.941,500,14.706,102
"Gustavson, Quinton",Fr.,2009-10,F,6-9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Haggerty, Ryan",Fr.,2009-10,F,6-8,21,16,31,0.516,1,12,0.083,7,21,0.333,24,1.143,7,0.333,2,0.095,4,0.190,40,1.905,9
"Hill, Anthony",Jr.,2009-10,C,6-7,34,106,214,0.495,2,12,0.167,94,144,0.653,152,4.471,37,1.088,17,0.500,22,0.647,308,9.059,63
"McCallum, Ja'Rob",Fr.,2009-10,G,6-0,31,76,190,0.400,44,104,0.423,45,61,0.738,80,2.581,22,0.710,0,-,20,0.645,241,7.774,40
"Meier, Tony",So.,2009-10,F,6-8,28,46,115,0.400,21,70,0.300,19,23,0.826,72,2.571,13,0.464,4,0.143,5,0.179,132,4.714,25
"Porte, Burleigh",Sr.,2009-10,F,6-8,2,1,1,1.000,0,0,-,0,0,-,0,-,0,-,0,-,0,-,2,1.000,0
"Roberts, Deonte",Jr.,2009-10,G,6-3,20,49,94,0.521,0,1,0.000,54,77,0.701,82,4.100,38,1.900,7,0.350,20,1.000,152,7.600,43
"Souter, Patrick",Fr.,2009-10,G,6-0,26,18,47,0.383,2,7,0.286,12,21,0.571,25,0.962,23,0.885,3,0.115,8,0.308,50,1.923,15
"Tyler, Michael",Jr.,2009-10,F,6-5,9,4,10,0.400,1,6,0.167,2,6,0.333,9,1.000,1,0.111,0,-,0,-,11,1.222,0
"Walker, Riley",Fr.,2009-10,F,6-6,23,13,34,0.382,2,9,0.222,4,9,0.444,29,1.261,6,0.261,1,0.043,4,0.174,32,1.391,8
