name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Anderson, Ryan",Sr.,2009-10,G,6-4,31,117,258,0.453,54,126,0.429,63,84,0.750,164,5.290,68,2.194,6,0.194,53,1.710,351,11.323,58
"Beranek, Drake",Sr.,2009-10,G,6-4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Coleman, Adrien",Fr.,2009-10,G,6-4,6,5,10,0.500,2,2,1.000,3,4,0.750,4,0.667,0,-,0,-,3,0.500,15,2.500,8
"Diaz, Jorge Brian",Fr.,2009-10,C,6-11,33,133,255,0.522,0,0,-,25,51,0.490,133,4.030,33,1.000,41,1.242,16,0.485,291,8.818,50
"Fox, Mike",Fr.,2009-10,G,6-4,8,1,2,0.500,0,0,-,5,6,0.833,4,0.500,0,-,0,-,1,0.125,7,0.875,2
"Gallegos, Ray",Fr.,2009-10,G,6-3,30,34,93,0.366,15,43,0.349,8,16,0.500,41,1.367,19,0.633,5,0.167,10,0.333,91,3.033,14
"Hankins-Cole, Quincy",Jr.,2009-10,F,6-8,26,35,78,0.449,0,0,-,34,78,0.436,63,2.423,11,0.423,4,0.154,7,0.269,104,4.000,21
"Henry, Sek",Sr.,2009-10,G,6-4,33,81,199,0.407,32,86,0.372,55,81,0.679,110,3.333,91,2.758,14,0.424,25,0.758,249,7.545,56
"Holley, Myles",So.,2009-10,G,6-4,22,31,72,0.431,0,4,0.000,13,24,0.542,44,2.000,8,0.364,8,0.364,7,0.318,75,3.409,13
"Jeter, Lance",Jr.,2009-10,G,6-3,33,91,221,0.412,25,63,0.397,42,61,0.689,124,3.758,134,4.061,4,0.121,29,0.879,249,7.545,69
"Jones, Eshaunte",Fr.,2009-10,G,6-4,29,61,143,0.427,40,92,0.435,11,17,0.647,47,1.621,29,1.000,2,0.069,14,0.483,173,5.966,13
"Karn, Matt",Sr.,2009-10,G,6-3,9,3,5,0.600,3,5,0.600,0,0,-,2,0.222,3,0.333,0,-,1,0.111,9,1.000,2
"McCray, Toney",So.,2009-10,G,6-6,3,8,15,0.533,2,4,0.500,1,2,0.500,12,4.000,2,0.667,0,-,1,0.333,19,6.333,3
"Nelson, Ben",Sr.,2009-10,F,6-9,13,2,9,0.222,0,0,-,10,18,0.556,11,0.846,1,0.077,1,0.077,4,0.308,14,1.077,3
"Niemann, Christopher",So.,2009-10,C,6-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Richardson, Brandon",So.,2009-10,G,6-0,31,82,180,0.456,27,85,0.318,85,103,0.825,85,2.742,56,1.806,2,0.065,35,1.129,276,8.903,40
"Standhardinger, Christian",Fr.,2009-10,F,6-8,16,38,93,0.409,6,16,0.375,47,60,0.783,60,3.750,13,0.813,2,0.125,10,0.625,129,8.063,19
"Ubel, Brandon",Fr.,2009-10,F,6-10,32,46,112,0.411,11,21,0.524,39,49,0.796,63,1.969,3,0.094,5,0.156,7,0.219,142,4.438,41
