name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Agho, Patrick",Fr.,2009-10,F,6-6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ayers, Justin",Fr.,2009-10,G,6-3,29,33,80,0.413,8,34,0.235,7,12,0.583,34,1.172,20,0.690,2,0.069,17,0.586,81,2.793,20
"Bose, Anatoly",Jr.,2009-10,G,6-6,30,194,442,0.439,86,224,0.384,159,214,0.743,179,5.967,61,2.033,8,0.267,34,1.133,633,21.100,83
"Carter, Kellan",Jr.,2009-10,G,6-1,29,47,66,0.712,0,1,0.000,20,34,0.588,68,2.345,62,2.138,2,0.069,55,1.897,114,3.931,32
"Foster, Maurice",Fr.,2009-10,G,6-4,13,44,88,0.500,1,5,0.200,17,29,0.586,37,2.846,3,0.231,2,0.154,6,0.462,106,8.154,22
"Franklin, Jr., Kenny",Jr.,2009-10,G,5-11,30,46,116,0.397,28,78,0.359,15,18,0.833,32,1.067,52,1.733,2,0.067,27,0.900,135,4.500,38
"Friend, Dominic",Jr.,2009-10,F,6-7,28,33,114,0.289,18,72,0.250,25,31,0.806,69,2.464,39,1.393,8,0.286,20,0.714,109,3.893,36
"Hammond, Bryan",Fr.,2009-10,G,6-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Henry, Ramond",Fr.,2009-10,G,5-9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hunter, Fred",So.,2009-10,G,6-5,30,146,303,0.482,14,62,0.226,108,171,0.632,156,5.200,32,1.067,2,0.067,45,1.500,414,13.800,67
"Iles, Chris",So.,2009-10,G,5-11,30,78,210,0.371,43,119,0.361,56,72,0.778,52,1.733,109,3.633,0,-,30,1.000,255,8.500,59
"Lafont, Jarred",Jr.,2009-10,G,6-2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Lee, K.J.",So.,2009-10,G,6-1,2,0,2,0.000,0,2,0.000,0,0,-,0,-,1,0.500,0,-,2,1.000,0,-,1
"Martin, Ben",---,2009-10,-,-,10,2,8,0.250,2,7,0.286,0,0,-,2,0.200,4,0.400,0,-,2,0.200,6,0.600,2
"McCallum, Cameron",So.,2009-10,F,6-8,26,15,40,0.375,0,0,-,8,15,0.533,45,1.731,12,0.462,1,0.038,9,0.346,38,1.462,18
"Reed, Zach",Fr.,2009-10,G,5-6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Roethle, Andy",Fr.,2009-10,G,6-3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Smith, Jeremy",Fr.,2009-10,G,6-3,13,5,11,0.455,0,0,-,4,10,0.400,5,0.385,2,0.154,1,0.077,5,0.385,14,1.077,4
"Triggs, Bryson",Fr.,2009-10,G,5-8,12,6,11,0.545,2,5,0.400,11,14,0.786,5,0.417,3,0.250,0,-,5,0.417,25,2.083,3
"Ward, Phillip",So.,2009-10,F,6-7,13,18,39,0.462,0,0,-,1,4,0.250,25,1.923,4,0.308,3,0.231,1,0.077,37,2.846,8
