name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Addo, Emmanuel",Fr.,2009-10,F,6-8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Armenta, Travess",Jr.,2009-10,G,6-0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Arnold, David",Fr.,2009-10,G,6-1,21,4,15,0.267,2,8,0.250,6,8,0.750,9,0.429,15,0.714,1,0.048,2,0.095,16,0.762,20
"Bedford, Michael",Fr.,2009-10,F,6-4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Beitzel, Devon",Jr.,2009-10,G,6-0,26,125,254,0.492,68,153,0.444,55,68,0.809,87,3.346,52,2.000,0,-,52,2.000,373,14.346,40
"Bonner, Yahosh",Sr.,2009-10,G,6-0,33,49,125,0.392,28,78,0.359,68,89,0.764,67,2.030,75,2.273,2,0.061,41,1.242,194,5.879,35
"Brereton, Hauns",Fr.,2009-10,F,6-6,28,22,48,0.458,3,10,0.300,12,16,0.750,26,0.929,5,0.179,2,0.071,4,0.143,59,2.107,9
"Figures, Will",Sr.,2009-10,G,5-9,33,151,358,0.422,59,143,0.413,188,221,0.851,120,3.636,91,2.758,1,0.030,34,1.030,549,16.636,76
"Hall, Lee",So.,2009-10,G,5-8,6,3,5,0.600,0,1,0.000,0,0,-,2,0.333,0,-,0,-,2,0.333,6,1.000,1
"Hanes, Kevin",Fr.,2009-10,C,6-10,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jenkins, Ben",Sr.,2009-10,C,6-9,1,3,5,0.600,0,0,-,0,2,0.000,5,5.000,0,-,1,1.000,1,1.000,6,6.000,2
"Kaba, Chris",Jr.,2009-10,F,6-6,33,84,176,0.477,28,68,0.412,66,89,0.742,138,4.182,34,1.030,15,0.455,26,0.788,262,7.939,44
"Kingman, Neal",Jr.,2009-10,F,6-6,33,83,199,0.417,26,88,0.295,45,63,0.714,117,3.545,38,1.152,10,0.303,17,0.515,237,7.182,55
"Lloyd, Elliott",So.,2009-10,G,6-1,33,57,151,0.377,34,90,0.378,23,33,0.697,61,1.848,31,0.939,3,0.091,17,0.515,171,5.182,40
"Montgomery, Taylor",Jr.,2009-10,F,6-7,28,78,171,0.456,4,9,0.444,81,128,0.633,134,4.786,11,0.393,10,0.357,14,0.500,241,8.607,27
"Osborne, Connor",Fr.,2009-10,C,6-9,27,18,52,0.346,0,1,0.000,5,15,0.333,47,1.741,5,0.185,12,0.444,3,0.111,41,1.519,13
"Proctor, Mike",So.,2009-10,F,6-8,33,103,192,0.536,0,2,0.000,65,92,0.707,184,5.576,26,0.788,21,0.636,26,0.788,271,8.212,51
"Unruh, Tate",Fr.,2009-10,G,6-2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
