name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bjegovic, Duro",Jr.,2009-10,F,6-7,28,74,152,0.487,22,47,0.468,38,55,0.691,111,3.964,18,0.643,2,0.071,8,0.286,208,7.429,36
"Daniel, Domineek",Sr.,2009-10,G,6-3,30,69,175,0.394,13,44,0.295,30,47,0.638,97,3.233,27,0.900,21,0.700,46,1.533,181,6.033,60
"Dickson, John",Fr.,2009-10,G,6-5,30,104,236,0.441,28,69,0.406,55,91,0.604,108,3.600,21,0.700,29,0.967,17,0.567,291,9.700,41
"Eller, Justin",Sr.,2009-10,C,6-8,30,119,240,0.496,0,6,0.000,100,142,0.704,165,5.500,16,0.533,13,0.433,7,0.233,338,11.267,45
"Flaggs, Antonio",Sr.,2009-10,G,6-3,29,71,177,0.401,38,103,0.369,38,49,0.776,68,2.345,44,1.517,6,0.207,21,0.724,218,7.517,32
"Jackson, Walter",Jr.,2009-10,G,6-5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Johnstin, Brad",Fr.,2009-10,G,6-2,8,2,6,0.333,1,5,0.200,0,0,-,4,0.500,1,0.125,0,-,2,0.250,5,0.625,2
"Lopez, Dani",Fr.,2009-10,C,6-9,12,8,20,0.400,0,0,-,2,4,0.500,19,1.583,0,-,1,0.083,1,0.083,18,1.500,10
"Malloy, Jonathan",Sr.,2009-10,G,6-5,21,13,42,0.310,6,20,0.300,16,23,0.696,30,1.429,12,0.571,3,0.143,3,0.143,48,2.286,15
"Marcial, Mike",Sr.,2009-10,G,6-1,30,30,76,0.395,16,39,0.410,24,32,0.750,64,2.133,103,3.433,2,0.067,27,0.900,100,3.333,37
"N'Diaye, Alpha",Jr.,2009-10,C,6-8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Norris, David",Jr.,2009-10,F,6-6,4,5,14,0.357,1,4,0.250,0,0,-,5,1.250,2,0.500,1,0.250,3,0.750,11,2.750,1
"Selling, Michael",Sr.,2009-10,F,6-8,29,70,167,0.419,4,26,0.154,16,27,0.593,113,3.897,18,0.621,4,0.138,19,0.655,160,5.517,38
"Stigall, Jared",Sr.,2009-10,G,5-10,29,16,55,0.291,11,40,0.275,5,6,0.833,23,0.793,23,0.793,0,-,15,0.517,48,1.655,18
"Toles-Bey, Sultan",Jr.,2009-10,G,5-10,30,90,272,0.331,36,104,0.346,93,107,0.869,77,2.567,100,3.333,3,0.100,47,1.567,309,10.300,82
