name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Barber, Shaquil",Fr.,2009-10,G,6-0,1,0,2,0.000,0,2,0.000,0,0,-,1,1.000,0,-,0,-,0,-,0,-,0
"Bennett, Carrio",Jr.,2009-10,G,6-1,31,59,175,0.337,28,94,0.298,41,51,0.804,82,2.645,67,2.161,2,0.065,27,0.871,187,6.032,60
"Brown, Louis",So.,2009-10,G,6-1,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Flagler, Jason",Sr.,2009-10,G,6-4,31,201,366,0.549,1,3,0.333,64,74,0.865,170,5.484,33,1.065,11,0.355,20,0.645,467,15.065,46
"Maxey, Jodd",Fr.,2009-10,F,6-7,28,28,50,0.560,0,0,-,4,14,0.286,51,1.821,2,0.071,12,0.429,10,0.357,60,2.143,13
"McBride, Devin",Jr.,2009-10,G,6-2,4,3,15,0.200,0,6,0.000,4,6,0.667,3,0.750,1,0.250,0,-,0,-,10,2.500,1
"Pitt, Rio",So.,2009-10,F,6-7,32,49,83,0.590,0,0,-,16,22,0.727,101,3.156,13,0.406,27,0.844,16,0.500,114,3.563,29
"Porter, Darnell",Jr.,2009-10,G,6-4,32,112,269,0.416,53,131,0.405,139,175,0.794,144,4.500,59,1.844,14,0.438,41,1.281,416,13.000,84
"Smalls, Brandon",Sr.,2009-10,G,6-5,30,77,200,0.385,33,102,0.324,38,52,0.731,110,3.667,24,0.800,2,0.067,12,0.400,225,7.500,28
"Telfare, Westley",Jr.,2009-10,G,6-4,21,22,76,0.289,12,48,0.250,4,5,0.800,36,1.714,11,0.524,6,0.286,8,0.381,60,2.857,25
"Toombs, Khalif",Fr.,2009-10,G,5-9,32,59,157,0.376,19,65,0.292,78,100,0.780,65,2.031,113,3.531,2,0.063,26,0.813,215,6.719,72
"Williams, Arsenio",Sr.,2009-10,G,6-5,31,94,181,0.519,0,1,0.000,53,95,0.558,155,5.000,13,0.419,11,0.355,22,0.710,241,7.774,37
"Williams, Tyvon",Jr.,2009-10,G,6-0,32,70,171,0.409,16,77,0.208,42,65,0.646,65,2.031,85,2.656,4,0.125,37,1.156,198,6.188,76
"Wright, Joseph",Jr.,2009-10,F,6-7,25,10,21,0.476,0,0,-,11,16,0.688,25,1.000,2,0.080,1,0.040,5,0.200,31,1.240,12
