name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Arnold, Daryl",So.,2009-10,G,6-5,3,1,2,0.500,0,1,0.000,1,4,0.250,0,-,0,-,0,-,0,-,3,1.000,2
"Awaji, Buchi",Sr.,2009-10,G,6-3,31,60,147,0.408,29,77,0.377,16,24,0.667,78,2.516,26,0.839,3,0.097,20,0.645,165,5.323,25
"Ayarza, Josimar",Jr.,2009-10,F,6-9,29,63,131,0.481,2,7,0.286,44,66,0.667,95,3.276,7,0.241,13,0.448,7,0.241,172,5.931,34
"Bolden, Maurice",So.,2009-10,G,6-10,34,92,226,0.407,27,77,0.351,86,110,0.782,200,5.882,24,0.706,18,0.529,15,0.441,297,8.735,65
"Brewer, Bryson",Sr.,2009-10,G,6-3,8,0,5,0.000,0,3,0.000,0,0,-,2,0.250,0,-,0,-,0,-,0,-,1
"Clyburn, Jerome",Fr.,2009-10,G,6-0,4,1,3,0.333,0,0,-,0,0,-,2,0.500,1,0.250,0,-,1,0.250,2,0.500,3
"Flowers, Gary",Jr.,2009-10,F,6-8,33,203,437,0.465,25,76,0.329,65,98,0.663,273,8.273,45,1.364,60,1.818,26,0.788,496,15.030,81
"Horton, R.L.",Jr.,2009-10,G,6-0,34,108,289,0.374,30,99,0.303,67,103,0.650,100,2.941,66,1.941,0,-,19,0.559,313,9.206,46
"Johnson, Angelo",So.,2009-10,G,6-0,34,103,288,0.358,36,111,0.324,101,124,0.815,102,3.000,89,2.618,4,0.118,33,0.971,343,10.088,63
"Lino, Gustavo",Sr.,2009-10,C,7-1,7,2,5,0.400,0,0,-,6,6,1.000,7,1.000,0,-,1,0.143,1,0.143,10,1.429,2
"Ortiz, Kenneth",Fr.,2009-10,G,5-11,26,10,29,0.345,0,0,-,10,23,0.435,25,0.962,22,0.846,0,-,5,0.192,30,1.154,17
"Pelham, Torye",Jr.,2009-10,F,6-6,29,46,90,0.511,1,9,0.111,19,23,0.826,110,3.793,6,0.207,15,0.517,25,0.862,112,3.862,18
"Pennington, LaVanne",So.,2009-10,G,6-4,14,10,26,0.385,5,17,0.294,1,4,0.250,15,1.071,4,0.286,1,0.071,2,0.143,26,1.857,4
"Stephens, Andre",Sr.,2009-10,F,6-8,24,19,37,0.514,0,0,-,12,22,0.545,42,1.750,0,-,1,0.042,4,0.167,50,2.083,10
"Stone, Sai'Quon",Jr.,2009-10,G,6-6,34,40,106,0.377,0,1,0.000,101,126,0.802,130,3.824,36,1.059,5,0.147,21,0.618,181,5.324,50
