name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Allen, Lavoy",Jr.,2009-10,F,6-9,35,171,319,0.536,5,23,0.217,55,88,0.625,375,10.714,83,2.371,50,1.429,19,0.543,402,11.486,53
"Bouchman, Carmel",Fr.,2009-10,F,6-8,9,0,2,0.000,0,0,-,2,2,1.000,3,0.333,0,-,1,0.111,0,-,2,0.222,1
"Brooks, Ryan",Sr.,2009-10,G,6-4,35,179,433,0.413,56,176,0.318,85,103,0.825,148,4.229,82,2.343,3,0.086,27,0.771,499,14.257,43
"Clarke, Chris",Fr.,2009-10,F,6-8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"DeLeon, Rafael",Sr.,2009-10,F,6-5,9,1,2,0.500,0,0,-,0,2,0.000,3,0.333,1,0.111,0,-,0,-,2,0.222,2
"DiLeo, Tj",Fr.,2009-10,G,6-2,24,10,36,0.278,2,13,0.154,5,10,0.500,20,0.833,7,0.292,0,-,7,0.292,27,1.125,7
"Eric, Micheal",So.,2009-10,C,6-11,31,81,157,0.516,0,0,-,22,38,0.579,95,3.065,20,0.645,20,0.645,10,0.323,184,5.935,41
"Fernandez, Juan",So.,2009-10,G,6-4,34,148,347,0.427,73,161,0.453,61,72,0.847,82,2.412,121,3.559,2,0.059,32,0.941,430,12.647,66
"Godino, Jake",So.,2009-10,G,6-0,3,0,1,0.000,0,0,-,0,0,-,0,-,0,-,0,-,1,0.333,0,-,0
"Guzman, Luis",Sr.,2009-10,G,6-3,35,60,161,0.373,20,67,0.299,33,56,0.589,147,4.200,112,3.200,3,0.086,25,0.714,173,4.943,54
"Jefferson, Rahlir",Fr.,2009-10,F,6-6,34,45,113,0.398,0,1,0.000,42,65,0.646,89,2.618,21,0.618,16,0.471,19,0.559,132,3.882,31
"Moore, Ramone",So.,2009-10,G,6-4,35,101,211,0.479,5,40,0.125,58,87,0.667,108,3.086,53,1.514,1,0.029,13,0.371,265,7.571,41
"Randall, Scootie",So.,2009-10,F,6-6,25,17,47,0.362,13,31,0.419,0,1,0.000,34,1.360,5,0.200,1,0.040,4,0.160,47,1.880,5
"Williams, Craig",Jr.,2009-10,F,6-9,28,36,102,0.353,29,89,0.326,4,9,0.444,50,1.786,10,0.357,7,0.250,6,0.214,105,3.750,13
"Wyatt, Khaliff",Fr.,2009-10,G,6-4,10,2,11,0.182,1,4,0.250,0,0,-,2,0.200,0,-,0,-,0,-,5,0.500,1
