name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bidias A Moute, Emanuel",Sr.,2009-10,F,6-8,31,65,145,0.448,0,0,-,44,76,0.579,187,6.032,40,1.290,27,0.871,28,0.903,174,5.613,51
"Bishop, Tony",Jr.,2009-10,F,6-6,30,81,174,0.466,2,5,0.400,58,91,0.637,143,4.767,20,0.667,24,0.800,24,0.800,222,7.400,47
"Bowman, John",So.,2009-10,G,6-4,31,76,196,0.388,25,90,0.278,41,73,0.562,51,1.645,49,1.581,4,0.129,28,0.903,218,7.032,66
"Conley, J.B.",Jr.,2009-10,F,6-7,30,87,195,0.446,22,67,0.328,77,110,0.700,104,3.467,18,0.600,6,0.200,18,0.600,273,9.100,49
"Hale, Dylan",Fr.,2009-10,F,6-1,31,54,140,0.386,36,102,0.353,19,29,0.655,51,1.645,37,1.194,1,0.032,30,0.968,163,5.258,27
"Jackson, Roshun",So.,2009-10,F,6-6,14,15,49,0.306,1,13,0.077,8,16,0.500,25,1.786,12,0.857,3,0.214,9,0.643,39,2.786,18
"Johnson, Cameron",Jr.,2009-10,F,6-7,30,151,334,0.452,0,2,0.000,135,214,0.631,237,7.900,34,1.133,14,0.467,48,1.600,437,14.567,89
"Rybak, John",Sr.,2009-10,F,6-5,31,92,231,0.398,57,167,0.341,57,69,0.826,134,4.323,60,1.935,8,0.258,34,1.097,298,9.613,42
"Segura, Uriel",Jr.,2009-10,G,6-3,31,52,149,0.349,33,94,0.351,42,51,0.824,56,1.806,65,2.097,0,-,18,0.581,179,5.774,46
"Sloan, Jonathan",Jr.,2009-10,F,6-8,25,32,62,0.516,0,0,-,29,49,0.592,47,1.880,6,0.240,7,0.280,8,0.320,93,3.720,16
"White, Ryan",Jr.,2009-10,G,5-11,28,88,223,0.395,38,101,0.376,82,108,0.759,89,3.179,107,3.821,1,0.036,40,1.429,296,10.571,99
"Ybarra, Brooks",So.,2009-10,G,6-3,4,0,4,0.000,0,3,0.000,0,0,-,0,-,1,0.250,1,0.250,0,-,0,-,0
