name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Aminu, Al-Farouq",So.,2009-10,F,6-9,31,167,374,0.447,18,66,0.273,139,199,0.698,332,10.710,41,1.323,44,1.419,44,1.419,491,15.839,99
"Bolton, Phaethon",Sr.,2009-10,G,5-8,2,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,1,0.500,0,-,0
"Clark, Gary",Jr.,2009-10,G,6-4,24,28,66,0.424,13,31,0.419,8,12,0.667,15,0.625,5,0.208,1,0.042,15,0.625,77,3.208,7
"Fowler, Kyle",Sr.,2009-10,G,6-2,2,0,1,0.000,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,1
"Godwin, Brooks",So.,2009-10,F,6-5,7,0,2,0.000,0,0,-,0,0,-,2,0.286,0,-,0,-,0,-,0,-,0
"Harris, C.J.",Fr.,2009-10,G,6-2,31,82,213,0.385,35,108,0.324,108,130,0.831,55,1.774,38,1.226,2,0.065,28,0.903,307,9.903,49
"Ingle, Aaron",So.,2009-10,G,6-0,2,0,0,-,0,0,-,0,0,-,1,0.500,1,0.500,0,-,0,-,0,-,1
"Keenan, Ryan",So.,2009-10,F,6-4,2,0,0,-,0,0,-,0,0,-,2,1.000,0,-,0,-,0,-,0,-,0
"McDermott, Denmore",Jr.,2009-10,F,6-5,1,0,1,0.000,0,0,-,0,0,-,1,1.000,0,-,0,-,0,-,0,-,0
"McFarland, Chas",Sr.,2009-10,C,7-0,31,74,166,0.446,0,5,0.000,75,125,0.600,216,6.968,25,0.806,36,1.161,14,0.452,223,7.194,59
"Smith, Ishmael",Sr.,2009-10,G,6-0,31,176,419,0.420,12,54,0.222,44,89,0.494,151,4.871,185,5.968,19,0.613,52,1.677,408,13.161,95
"Stewart, Ari",Fr.,2009-10,F,6-7,31,85,228,0.373,43,116,0.371,14,23,0.609,99,3.194,8,0.258,2,0.065,10,0.323,227,7.323,39
"Tucker, Konner",So.,2009-10,G,6-4,6,4,10,0.400,4,8,0.500,1,3,0.333,4,0.667,1,0.167,0,-,0,-,13,2.167,2
"Walker, Ty",So.,2009-10,C,7-0,7,5,16,0.313,0,0,-,5,7,0.714,11,1.571,1,0.143,9,1.286,2,0.286,15,2.143,1
"Weaver, David",Sr.,2009-10,C,6-11,31,31,61,0.508,3,10,0.300,17,25,0.680,64,2.065,7,0.226,18,0.581,8,0.258,82,2.645,19
"Williams, L.D.",Sr.,2009-10,G,6-4,31,100,215,0.465,6,37,0.162,65,97,0.670,175,5.645,55,1.774,7,0.226,43,1.387,271,8.742,57
"Woods, Tony",So.,2009-10,C,6-11,31,59,97,0.608,0,0,-,25,52,0.481,100,3.226,2,0.065,24,0.774,4,0.129,143,4.613,34
