name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Brown, Kendrix",So.,2009-10,G,6-3,27,19,62,0.306,7,20,0.350,22,30,0.733,55,2.037,32,1.185,6,0.222,18,0.667,67,2.481,30
"Gaillard, Kyle",Fr.,2009-10,F,6-7,33,31,81,0.383,13,38,0.342,19,28,0.679,45,1.364,13,0.394,0,-,5,0.152,94,2.848,15
"Hess, Steven",Sr.,2009-10,F,6-10,30,54,85,0.635,0,0,-,27,38,0.711,112,3.733,36,1.200,10,0.333,11,0.367,135,4.500,42
"Howard, Doug",Fr.,2009-10,G,5-9,5,2,3,0.667,0,0,-,3,4,0.750,1,0.200,1,0.200,0,-,1,0.200,7,1.400,0
"Kitts, Marcus",Jr.,2009-10,F,6-9,32,95,152,0.625,0,0,-,33,72,0.458,203,6.344,43,1.344,33,1.031,13,0.406,223,6.969,49
"Ludwick, JohnMark",So.,2009-10,F,6-8,33,45,107,0.421,39,97,0.402,6,8,0.750,42,1.273,25,0.758,5,0.152,6,0.182,135,4.091,23
"McCurdy, Sean",Sr.,2009-10,G,6-1,33,44,134,0.328,20,65,0.308,43,67,0.642,75,2.273,112,3.394,1,0.030,22,0.667,151,4.576,51
"McDowell, Quinn",So.,2009-10,G,6-6,32,145,294,0.493,58,136,0.426,98,122,0.803,139,4.344,41,1.281,3,0.094,19,0.594,446,13.938,38
"McFadden, Matt",Jr.,2009-10,G,6-2,1,0,0,-,0,0,-,0,0,-,1,1.000,1,1.000,0,-,0,-,0,-,2
"Pavloff, Andrew",Fr.,2009-10,F,6-9,6,2,7,0.286,0,2,0.000,2,2,1.000,5,0.833,1,0.167,0,-,0,-,6,1.000,0
"Rum, Matt",Fr.,2009-10,G,6-4,33,27,74,0.365,11,42,0.262,23,26,0.885,29,0.879,26,0.788,0,-,16,0.485,88,2.667,15
"Schneider, David",Sr.,2009-10,G,6-3,33,148,425,0.348,99,289,0.343,117,146,0.801,197,5.970,97,2.939,2,0.061,48,1.455,512,15.515,49
"Sumner, Danny",Sr.,2009-10,F,6-7,33,123,308,0.399,48,152,0.316,55,97,0.567,126,3.818,35,1.061,24,0.727,18,0.545,349,10.576,34
