name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Blocker, Dallas",Sr.,2009-10,F,6-9,25,41,84,0.488,0,0,-,16,26,0.615,86,3.440,32,1.280,15,0.600,24,0.960,98,3.920,26
"Boudler, Dan",Jr.,2009-10,F,6-7,27,19,33,0.576,0,0,-,8,12,0.667,59,2.185,12,0.444,5,0.185,11,0.407,46,1.704,10
"Bright, Kelvin",Sr.,2009-10,G,6-4,30,111,236,0.470,9,38,0.237,72,122,0.590,58,1.933,56,1.867,4,0.133,21,0.700,303,10.100,63
"Brogdon, Sheldon",Fr.,2009-10,G,6-0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Cooksey, Vance",Jr.,2009-10,G,6-0,30,51,118,0.432,12,40,0.300,46,66,0.697,68,2.267,61,2.033,2,0.067,32,1.067,160,5.333,48
"D'Haiti, Eddie",Fr.,2009-10,F,6-8,28,24,59,0.407,0,1,0.000,22,38,0.579,82,2.929,13,0.464,18,0.643,9,0.321,70,2.500,29
"Eargle, Damian",So.,2009-10,F,6-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Martin, Sirlester",Sr.,2009-10,F,6-7,30,124,276,0.449,14,54,0.259,35,59,0.593,153,5.100,20,0.667,17,0.567,12,0.400,297,9.900,40
"Mays, DeAndre",Sr.,2009-10,G,6-2,30,136,384,0.354,43,125,0.344,112,153,0.732,99,3.300,102,3.400,10,0.333,28,0.933,427,14.233,90
"McKnight, Lamar",Fr.,2009-10,F,6-5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Parks, Tom",Jr.,2009-10,F,6-6,11,10,31,0.323,8,26,0.308,0,0,-,12,1.091,3,0.273,1,0.091,2,0.182,28,2.545,5
"Rebillot, Zack",Sr.,2009-10,F,6-6,22,28,44,0.636,0,0,-,12,17,0.706,70,3.182,8,0.364,11,0.500,6,0.273,68,3.091,11
"Timko, Andy",So.,2009-10,F,6-3,3,0,3,0.000,0,1,0.000,0,0,-,2,0.667,1,0.333,0,-,0,-,0,-,2
"Vytas, Sulskis",Jr.,2009-10,G,6-7,30,99,242,0.409,41,108,0.380,101,132,0.765,133,4.433,53,1.767,20,0.667,19,0.633,340,11.333,40
"Ward, Ashen",So.,2009-10,G,6-3,30,54,146,0.370,26,86,0.302,31,40,0.775,86,2.867,29,0.967,7,0.233,17,0.567,165,5.500,35
