Western St.,11/13/2009,65,54,Home,,-,"2,835"
Dickinson St.,11/20/2009,95,77,Home,,-,"2,260"
Northern Colo.,11/21/2009,46,70,Home,,-,"5,858"
Charleston So.,11/28/2009,68,58,Home,,-,"1,728"
N.C. Central,12/02/2009,61,49,Home,,-,"1,093"
Missouri St.,12/05/2009,48,58,Away,,-,"7,524"
Prairie View,12/08/2009,75,41,Home,,-,739
Washington St.,12/12/2009,68,75,Away,"Spokane, WA",-,"7,024"
Northern Ariz.,12/19/2009,52,60,Home,,-,"2,507"
UC Davis,12/22/2009,69,57,Home,,-,"1,922"
Niagara,12/28/2009,77,71,Neutral,"El Paso, TX",-,"6,212"
UTEP,12/29/2009,47,58,Away,,-,"8,010"
Tex.-Pan American,01/02/2010,72,65,Home,,-,"1,748"
TCU,01/06/2010,50,59,Away,,-,"3,102"
Colorado St.,01/09/2010,48,70,Away,,-,"3,207"
BYU,01/13/2010,49,67,Home,,-,"3,185"
New Mexico,01/20/2010,50,73,Home,,-,"2,156"
Utah,01/23/2010,54,71,Away,,-,"10,011"
UNLV,01/26/2010,50,60,Away,,-,"14,175"
Wyoming,01/30/2010,70,63,Home,,-,"3,414"
San Diego St.,02/02/2010,48,70,Away,,-,"6,126"
TCU,02/06/2010,51,65,Home,,-,"4,077"
Colorado St.,02/09/2010,47,51,Home,,-,"1,709"
BYU,02/13/2010,48,91,Away,,-,"15,647"
New Mexico,02/20/2010,56,59,Away,,-,"14,586"
Utah,02/24/2010,43,54,Home,,-,"1,862"
UNLV,02/27/2010,47,77,Home,,-,"2,430"
Wyoming,03/02/2010,49,58,Away,,-,"4,526"
San Diego St.,03/06/2010,42,61,Home,,-,"3,352"
Wyoming,03/10/2010,59,40,Neutral,"Las Vegas, NV",-,"5,348"
New Mexico,03/11/2010,69,75,Neutral,"Las Vegas, NV",-,"11,031"
