Austin Peay,11/15/2009,77,80,Home,,-,"2,360"
North Carolina St.,11/20/2009,45,66,Neutral,"Daytona Beach, FL",-,416
Drake,11/21/2009,63,59,Neutral,"Daytona Beach, FL",-,321
Howard,11/22/2009,69,52,Neutral,"Daytona Beach, FL",-,208
Ark.-Pine Bluff,11/27/2009,68,65,Home,,-,"2,115"
Niagara,11/29/2009,80,68,Home,,-,"2,049"
Texas A&M,12/04/2009,62,74,Away,,-,"7,668"
Malone,12/12/2009,62,30,Home,,-,"3,381"
UNC Greensboro,12/18/2009,83,59,Home,,-,"2,226"
Saint Francis (PA),12/20/2009,80,51,Home,,-,"2,028"
Ill.-Chicago,12/22/2009,77,65,Home,,-,"2,267"
Valparaiso,12/27/2009,77,57,Home,,-,"2,825"
Wyoming,12/30/2009,85,76,Away,,-,"4,414"
Rhode Island,01/05/2010,63,68,Home,,-,"2,429"
Bowling Green,01/09/2010,71,45,Home,,-,"3,028"
Ohio,01/13/2010,67,62,Away,,-,"6,834"
Buffalo,01/17/2010,65,78,Away,,-,"3,240"
Miami (OH),01/20/2010,69,49,Home,,-,"3,357"
Kent St.,01/23/2010,70,87,Away,,-,"6,204"
Western Mich.,01/27/2010,79,70,Away,,-,"3,041"
Toledo,01/30/2010,59,45,Home,,-,"3,634"
Eastern Mich.,02/01/2010,59,62,Home,,-,"2,674"
Northern Ill.,02/03/2010,90,76,Home,,-,"2,591"
Ball St.,02/06/2010,75,70,Away,,1 OT,"3,062"
Central Mich.,02/09/2010,56,52,Away,,-,760
Ohio,02/14/2010,91,88,Home,,2 OT,"3,469"
Miami (OH),02/17/2010,61,56,Away,,-,"2,092"
VCU,02/20/2010,53,70,Away,,-,"7,248"
Buffalo,02/24/2010,77,67,Home,,-,"3,975"
Bowling Green,02/27/2010,74,68,Away,,-,"1,927"
Kent St.,03/05/2010,61,74,Home,,-,"5,545"
Eastern Mich.,03/11/2010,97,89,Neutral,"Cleveland, OH",2 OT,"3,084"
Western Mich.,03/12/2010,66,64,Neutral,"Cleveland, OH",-,"5,089"
Ohio,03/13/2010,75,81,Neutral,"Cleveland, OH",-,"9,533"
Green Bay,03/17/2010,66,70,Home,,-,877
