UNC Wilmington,11/13/2009,79,68,Home,,-,"2,544"
East Tenn. St.,11/14/2009,58,62,Away,,-,"5,562"
Lees-McRae,11/17/2009,77,44,Home,,-,"1,621"
Arkansas,11/20/2009,72,81,Away,,1 OT,"11,958"
Louisville,11/23/2009,53,80,Away,,-,"19,027"
Morgan St.,11/28/2009,93,92,Home,,1 OT,"1,576"
Winthrop,11/30/2009,70,51,Home,,-,"1,292"
Furman,12/03/2009,82,85,Home,,-,"1,851"
Wofford,12/07/2009,77,76,Away,,-,"1,316"
Milligan,12/17/2009,113,91,Home,,-,"1,002"
Robert Morris,12/19/2009,65,52,Away,,-,837
Dayton,12/21/2009,49,65,Away,,-,"13,435"
Campbell,12/30/2009,63,92,Away,,-,"1,886"
Citadel,01/06/2010,58,62,Home,,-,"1,037"
Davidson,01/09/2010,78,68,Away,,-,"5,109"
Elon,01/13/2010,89,65,Home,,-,"2,301"
UNC Greensboro,01/16/2010,72,64,Home,,-,"2,162"
Ga. Southern,01/20/2010,65,68,Away,,-,"2,036"
Western Caro.,01/23/2010,87,74,Home,,-,"5,074"
Samford,01/28/2010,68,55,Away,,-,"2,133"
Chattanooga,01/30/2010,80,85,Away,,-,"4,331"
King (TN),02/01/2010,76,87,Home,,-,"1,807"
Western Caro.,02/06/2010,89,77,Away,,-,"6,024"
UNC Greensboro,02/08/2010,75,69,Away,,-,"4,198"
Davidson,02/11/2010,66,56,Home,,-,"2,007"
Ga. Southern,02/13/2010,111,83,Home,,-,"1,482"
Col. of Charleston,02/17/2010,72,73,Away,,-,"5,122"
Tennessee Tech,02/20/2010,81,68,Home,,-,"2,226"
Elon,02/22/2010,58,54,Away,,-,914
Chattanooga,02/25/2010,80,74,Home,,-,"2,003"
Samford,02/27/2010,82,68,Home,,-,"2,120"
Citadel,03/06/2010,71,61,Neutral,"Charlotte, NC",-,"5,007"
Col. of Charleston,03/07/2010,77,54,Neutral,"Charlotte, NC",-,"5,440"
Wofford,03/08/2010,51,56,Neutral,"Charlotte, NC",-,"6,193"
Harvard,03/17/2010,93,71,Home,,-,"1,786"
Marshall,03/22/2010,80,72,Away,,-,"4,371"
Pacific,03/25/2010,56,64,Home,,-,"2,565"
