UNC Pembroke,11/14/2009,104,72,Home,,-,"1,081"
Wake Forest,11/18/2009,60,83,Away,,-,"9,344"
Hampden-Sydney,11/21/2009,100,74,Home,,-,"1,251"
Auburn,11/25/2009,54,75,Away,,-,"3,971"
South Carolina St.,11/30/2009,74,66,Home,,-,841
Presbyterian,12/03/2009,63,61,Away,,-,601
Winthrop,12/05/2009,68,82,Away,,-,"2,028"
South Carolina St.,12/09/2009,63,76,Away,,-,603
Marshall,12/20/2009,76,109,Away,,-,"4,541"
Youngstown St.,12/22/2009,69,82,Away,,-,"1,421"
N.C. Central,12/29/2009,70,58,Home,,-,918
Gardner-Webb,01/02/2010,78,68,Home,,-,"1,252"
UNC Asheville,01/04/2010,66,62,Home,,-,901
Radford,01/09/2010,83,77,Home,,-,"1,750"
N.C. Central,01/11/2010,58,55,Away,,-,"2,079"
Charleston So.,01/14/2010,69,73,Away,,-,837
Coastal Caro.,01/16/2010,58,75,Away,,-,"1,052"
Liberty,01/21/2010,81,53,Home,,-,"1,422"
VMI,01/23/2010,91,94,Home,,-,"1,750"
UNC Asheville,01/28/2010,69,83,Away,,-,"1,087"
Gardner-Webb,01/30/2010,82,80,Away,,1 OT,890
Longwood,02/02/2010,66,70,Away,,-,"1,702"
Radford,02/07/2010,63,77,Away,,-,"1,219"
Coastal Caro.,02/11/2010,69,65,Home,,-,"1,387"
Charleston So.,02/13/2010,73,68,Home,,-,"1,750"
VMI,02/16/2010,84,91,Away,,-,"1,910"
Liberty,02/20/2010,67,76,Away,,-,"4,971"
Winthrop,02/25/2010,71,66,Home,,-,"1,612"
Presbyterian,02/27/2010,67,48,Home,,-,"1,534"
UNC Asheville,03/02/2010,73,84,Away,,-,987
