Kansas,11/13/2009,65,101,Away,,-,"16,300"
Yale,11/16/2009,68,63,Neutral,"Storrs, CT",-,"8,562"
Connecticut,11/17/2009,67,76,Away,,-,"8,713"
Farmingdale St.,11/20/2009,87,48,Home,,-,"2,655"
Elon,11/23/2009,70,46,Home,,-,737
Charlotte,11/24/2009,72,80,Home,,-,783
Fairfield,11/30/2009,84,80,Home,,-,"2,146"
Towson,12/05/2009,84,64,Away,,-,"1,376"
Manhattan,12/09/2009,44,39,Home,,-,"3,076"
New Hampshire,12/12/2009,75,58,Home,,-,"2,687"
St. John's (NY),12/20/2009,60,72,Away,"MSG, New York, NY",-,"5,780"
Davidson,12/21/2009,52,61,Neutral,"New York, NY",-,"5,210"
Fla. Atlantic,12/29/2009,67,63,Away,,-,"1,123"
William & Mary,01/02/2010,47,48,Home,,-,"3,132"
George Mason,01/04/2010,63,67,Away,,-,"3,826"
Towson,01/06/2010,77,61,Home,,-,"2,061"
Old Dominion,01/09/2010,46,57,Away,,-,"6,834"
VCU,01/12/2010,68,81,Home,,-,"2,224"
William & Mary,01/16/2010,66,73,Away,,-,"3,414"
George Mason,01/19/2010,72,90,Home,,-,"2,573"
Drexel,01/23/2010,62,75,Away,,-,"1,732"
UNC Wilmington,01/27/2010,93,54,Home,,-,"2,525"
Delaware,01/30/2010,77,67,Home,,-,"4,019"
James Madison,02/03/2010,68,48,Away,,-,"3,522"
Northeastern,02/06/2010,55,75,Home,,-,"3,417"
Drexel,02/10/2010,75,64,Home,,-,893
UNC Wilmington,02/13/2010,87,70,Away,,-,"2,462"
Delaware,02/16/2010,82,69,Away,,-,"2,090"
Rider,02/20/2010,92,89,Home,,1 OT,"3,119"
Northeastern,02/23/2010,73,62,Away,,-,"1,954"
Georgia St.,02/27/2010,87,74,Home,,-,"3,964"
Georgia St.,03/05/2010,68,67,Neutral,"Richmond, VA",-,"5,494"
Northeastern,03/06/2010,71,74,Neutral,"Richmond, VA",2 OT,"5,461"
IUPUI,03/17/2010,60,74,Home,,-,952
