Wisconsin,11/15/2009,46,75,Away,,-,"17,230"
Madonna,11/17/2009,86,57,Home,,-,"1,768"
Washington St.,11/19/2009,70,89,Away,,-,"5,399"
Gonzaga,11/20/2009,55,90,Away,,-,"6,000"
SIU Edwardsville,12/01/2009,69,64,Away,,-,"1,146"
Oakland,12/05/2009,76,84,Home,,-,"3,426"
Toledo,12/10/2009,72,73,Away,,-,"3,983"
North Dakota,12/12/2009,73,52,Home,,-,"1,803"
Michigan St.,12/19/2009,58,80,Away,,-,"14,759"
Valparaiso,12/22/2009,75,72,Home,,-,"1,891"
Purdue-North Cent.,12/28/2009,101,55,Home,,-,"1,669"
IUPUI,12/31/2009,69,79,Home,,-,"1,800"
Western Ill.,01/02/2010,53,49,Home,,-,"1,878"
Centenary (LA),01/07/2010,62,75,Away,,-,491
Oral Roberts,01/09/2010,55,68,Away,,-,"3,851"
Southern Utah,01/14/2010,61,56,Home,,-,"1,182"
UMKC,01/16/2010,78,69,Home,,-,"1,866"
South Dakota St.,01/21/2010,64,65,Away,,-,"1,812"
North Dakota St.,01/23/2010,68,59,Away,,-,"2,906"
Western Ill.,01/28/2010,63,58,Away,,-,"1,050"
IUPUI,01/31/2010,62,60,Away,,1 OT,"2,829"
Oral Roberts,02/04/2010,68,71,Home,,1 OT,"1,662"
Centenary (LA),02/06/2010,78,80,Home,,-,"2,981"
UMKC,02/11/2010,56,65,Away,,-,"1,033"
Southern Utah,02/13/2010,72,65,Away,,1 OT,"1,701"
North Dakota St.,02/18/2010,71,67,Home,,-,"1,764"
South Dakota St.,02/20/2010,78,72,Home,,-,"1,888"
SIU Edwardsville,02/23/2010,78,40,Home,,-,"1,681"
Oakland,02/27/2010,83,86,Away,,-,"3,823"
South Dakota St.,03/07/2010,71,66,Neutral,"Sioux Falls, SD",-,"6,128"
Oakland,03/08/2010,58,71,Neutral,"Sioux Falls, SD",-,"2,033"
