Elon,11/14/2009,86,91,Home,,-,"1,398"
Vanderbilt,11/16/2009,73,95,Away,,-,"13,481"
Tennessee Tech,11/19/2009,89,92,Home,,-,"1,216"
Ohio St.,11/24/2009,64,84,Away,,-,"11,555"
SIU Edwardsville,11/28/2009,67,64,Away,,-,744
Mercer,12/03/2009,98,89,Away,,-,"2,200"
Kennesaw St.,12/05/2009,91,97,Away,,-,872
SIU Edwardsville,12/10/2009,94,74,Home,,-,868
Oakland City,12/12/2009,105,68,Home,,-,875
Cincinnati,12/19/2009,52,80,Away,,-,"6,647"
Arizona,12/21/2009,82,83,Away,,1 OT,"12,972"
Stetson,01/02/2010,84,63,Home,,-,647
Fla. Gulf Coast,01/04/2010,89,79,Home,,-,763
S.C. Upstate,01/09/2010,80,66,Home,,-,"1,102"
Belmont,01/11/2010,64,53,Home,,-,"5,414"
Jacksonville,01/14/2010,73,79,Away,,-,"2,315"
North Florida,01/16/2010,79,55,Away,,-,"1,319"
East Tenn. St.,01/21/2010,69,71,Home,,-,"2,143"
Campbell,01/23/2010,82,86,Home,,-,"1,411"
Belmont,01/26/2010,78,72,Away,,-,"5,009"
East Tenn. St.,01/30/2010,85,84,Away,,1 OT,"3,286"
Campbell,02/01/2010,60,59,Away,,-,"1,723"
North Florida,02/05/2010,70,72,Home,,-,"1,177"
Jacksonville,02/07/2010,79,61,Home,,-,"1,181"
S.C. Upstate,02/11/2010,74,81,Away,,-,"1,010"
Fla. Gulf Coast,02/18/2010,93,75,Away,,-,"1,472"
Stetson,02/20/2010,85,71,Away,,-,982
Kennesaw St.,02/25/2010,74,66,Home,,-,"1,113"
Mercer,02/27/2010,85,73,Home,,-,"2,234"
Kennesaw St.,03/03/2010,69,72,Neutral,"Macon, GA",-,"1,049"
