Alas. Anchorage,11/14/2009,86,65,Home,,-,"4,122"
Pepperdine,11/17/2009,67,58,Away,,-,"1,056"
Notre Dame,11/19/2009,62,82,Away,,-,"7,876"
Green Bay,11/21/2009,81,69,Away,,-,"2,978"
West Virginia,11/26/2009,62,85,Neutral,"Anaheim, CA",-,"2,117"
Clemson,11/27/2009,79,87,Neutral,"Anaheim, CA",-,"2,067"
UCLA,11/29/2009,79,68,Neutral,"Anaheim, CA",-,"2,247"
Texas,12/07/2009,74,107,Away,,-,"11,194"
Cal St. Monterey Bay,12/12/2009,96,61,Home,,-,"2,065"
Utah St.,12/18/2009,75,62,Home,,-,"2,656"
Loyola Marymount,12/21/2009,80,85,Away,,1 OT,"2,074"
Kentucky,12/23/2009,73,86,Away,,-,"24,288"
Duke,12/29/2009,63,84,Away,,-,"9,314"
UC Riverside,01/02/2010,67,69,Away,,1 OT,848
Cal St. Fullerton,01/07/2010,75,85,Away,,-,"2,792"
UC Irvine,01/09/2010,55,53,Home,,-,"2,478"
UC Santa Barbara,01/14/2010,67,47,Home,,-,"2,298"
Cal Poly,01/16/2010,79,90,Home,,-,"2,128"
UC Irvine,01/21/2010,60,71,Away,,-,"1,904"
Cal St. Northridge,01/28/2010,69,68,Away,,-,"1,376"
UC Davis,01/30/2010,80,58,Home,,-,"2,607"
Cal St. Fullerton,02/04/2010,75,81,Home,,1 OT,"4,806"
Cal St. Northridge,02/06/2010,65,51,Home,,-,"2,551"
Cal Poly,02/11/2010,78,72,Away,,-,"1,726"
UC Santa Barbara,02/13/2010,62,64,Away,,-,"3,228"
Pacific,02/17/2010,52,74,Home,,-,"2,391"
Idaho,02/20/2010,77,66,Away,,-,"1,554"
UC Davis,02/25/2010,68,65,Away,,-,"2,217"
Pacific,02/27/2010,51,61,Away,,-,"3,310"
UC Riverside,03/05/2010,76,74,Home,,-,"4,164"
Cal Poly,03/11/2010,79,69,Neutral,"Anaheim, CA",-,"2,151"
Pacific,03/12/2010,68,61,Neutral,"Anaheim, CA",-,"2,826"
UC Santa Barbara,03/13/2010,64,69,Neutral,"Anaheim, CA",-,"3,113"
