Ohio Valley,11/13/2009,101,72,Home,,-,"3,189"
Middle Tenn.,11/15/2009,81,68,Home,,-,"3,355"
N.C. A&T,11/17/2009,93,82,Home,,-,"3,822"
Lamar,11/23/2009,71,46,Home,,-,"3,827"
Marshall,11/28/2009,53,60,Neutral,"Charleston, WV",-,"2,515"
Tulsa,12/06/2009,80,81,Away,,-,"4,886"
Austin Peay,12/09/2009,66,68,Home,,-,"3,086"
Delaware,12/12/2009,86,70,Away,,-,"2,269"
Illinois St.,12/16/2009,75,57,Home,,-,"3,694"
Eastern Ky.,12/19/2009,74,62,Home,,-,"3,714"
Pittsburgh,12/22/2009,49,74,Away,,-,"9,261"
Elon,12/29/2009,71,59,Home,,-,"4,822"
Robert Morris,01/02/2010,79,81,Away,,-,763
IUPUI,01/06/2010,63,62,Away,,-,"1,450"
Kent St.,01/09/2010,60,62,Home,,-,"8,359"
Akron,01/13/2010,62,67,Home,,-,"6,834"
Miami (OH),01/16/2010,67,79,Away,,-,"2,204"
Bowling Green,01/20/2010,57,65,Away,,-,"1,585"
Buffalo,01/23/2010,99,77,Home,,-,"10,689"
Northern Ill.,01/27/2010,99,84,Away,,-,"1,498"
Ball St.,01/31/2010,66,67,Home,,1 OT,"5,596"
Toledo,02/04/2010,65,58,Away,,1 OT,"3,408"
Eastern Mich.,02/06/2010,61,70,Away,,-,"1,362"
Western Mich.,02/09/2010,90,74,Home,,-,"2,880"
Central Mich.,02/11/2010,89,76,Home,,-,"4,051"
Akron,02/14/2010,88,91,Away,,2 OT,"3,469"
Kent St.,02/17/2010,67,74,Away,,-,"3,763"
Wright St.,02/20/2010,64,59,Home,,-,"8,164"
Miami (OH),02/24/2010,70,68,Home,,-,"7,044"
Buffalo,02/27/2010,69,72,Away,,-,"2,321"
Bowling Green,03/04/2010,82,60,Home,,-,"6,792"
Ball St.,03/07/2010,85,77,Away,,1 OT,"2,667"
Kent St.,03/11/2010,81,64,Neutral,"Cleveland, OH",-,"4,125"
Miami (OH),03/12/2010,54,42,Neutral,"Cleveland, OH",-,"5,089"
Akron,03/13/2010,81,75,Neutral,"Cleveland, OH",-,"9,533"
Georgetown,03/18/2010,97,83,Neutral,"Providence, RI",-,"10,788"
Tennessee,03/20/2010,68,83,Neutral,"Providence, RI",-,"11,271"
