Lehigh,11/13/2009,65,53,Home,,-,"4,139"
VMI,11/16/2009,103,59,Home,,-,"3,802"
William & Mary,11/19/2009,71,78,Away,,-,"2,104"
Chattanooga,11/22/2009,75,49,Home,,-,"3,185"
Longwood,11/24/2009,65,52,Home,,-,"3,338"
Mississippi St.,11/27/2009,63,62,Neutral,"South Padre Island, TX",-,585
Missouri,11/28/2009,59,52,Neutral,"South Padre Island, TX",-,543
Old Dominion,12/02/2009,67,60,Home,,-,"4,130"
VCU,12/12/2009,57,65,Away,,-,"7,567"
South Carolina,12/16/2009,58,76,Away,,-,"9,640"
Florida,12/19/2009,56,53,Neutral,"Sunrise, FL",-,"13,258"
UNC Greensboro,12/22/2009,89,63,Home,,-,"3,127"
UNC Wilmington,12/28/2009,66,64,Home,,-,"4,027"
Wake Forest,12/31/2009,68,74,Away,,1 OT,"10,210"
Bucknell,01/02/2010,59,50,Away,,-,"2,322"
Duquesne,01/06/2010,80,68,Away,,-,"2,523"
Saint Louis,01/09/2010,58,63,Away,,-,"8,134"
Massachusetts,01/13/2010,70,63,Home,,1 OT,"4,019"
La Salle,01/16/2010,67,63,Home,,-,"4,641"
Charlotte,01/20/2010,59,71,Home,,-,"4,042"
George Washington,01/23/2010,62,57,Away,,-,"3,298"
Saint Louis,01/30/2010,62,36,Home,,-,"3,193"
Saint Joseph's,02/03/2010,68,58,Away,,-,"3,886"
Temple,02/06/2010,71,54,Home,,-,"6,806"
Rhode Island,02/10/2010,69,67,Away,,-,"7,109"
St. Bonaventure,02/13/2010,68,49,Away,,-,"5,013"
Fordham,02/17/2010,84,56,Home,,-,"4,834"
George Washington,02/20/2010,74,70,Home,,-,"9,025"
Xavier,02/28/2010,76,78,Away,,2 OT,"10,250"
Dayton,03/04/2010,60,56,Home,,-,"7,121"
Charlotte,03/06/2010,89,84,Away,,1 OT,"6,559"
Massachusetts,03/12/2010,77,72,Neutral,"Atlantic City, NJ",-,"6,029"
Xavier,03/13/2010,89,85,Neutral,"Atlantic City, NJ",1 OT,"8,208"
Temple,03/14/2010,52,56,Neutral,"Atlantic City, NJ",-,"7,882"
St. Mary's (CA),03/18/2010,71,80,Neutral,"Providence, RI",-,"11,106"
