Averett,11/13/2009,70,65,Home,,-,"1,459"
Florida,11/15/2009,46,74,Away,,-,"10,077"
Florida St.,11/18/2009,38,80,Away,,-,"6,525"
Charleston So.,11/21/2009,64,80,Away,,-,817
Palm Beach Atl.,11/25/2009,85,67,Home,,-,578
S.C. Upstate,11/30/2009,56,78,Away,,-,"1,020"
Louisville,12/02/2009,48,80,Away,,-,"18,916"
Miami (FL),12/16/2009,49,69,Home,,-,"2,619"
Savannah St.,12/21/2009,46,57,Away,,-,501
Fla. Gulf Coast,12/29/2009,72,64,Home,,-,"1,239"
Lipscomb,01/02/2010,63,84,Away,,-,647
Belmont,01/04/2010,71,85,Away,,-,703
Jacksonville,01/08/2010,70,80,Home,,-,"1,481"
North Florida,01/10/2010,44,54,Home,,-,"1,411"
East Tenn. St.,01/14/2010,54,52,Away,,-,"4,003"
Campbell,01/16/2010,55,81,Away,,-,"2,411"
Mercer,01/22/2010,76,69,Home,,-,"2,356"
Kennesaw St.,01/24/2010,59,75,Home,,-,768
Fla. Gulf Coast,01/27/2010,53,64,Away,,-,831
Mercer,01/30/2010,57,91,Away,,-,"2,487"
Kennesaw St.,02/01/2010,62,73,Away,,-,782
Campbell,02/04/2010,47,65,Home,,-,"1,192"
East Tenn. St.,02/06/2010,60,75,Home,,-,"1,279"
North Florida,02/11/2010,71,60,Away,,-,"1,067"
Jacksonville,02/13/2010,54,69,Away,,-,"2,743"
Savannah St.,02/15/2010,68,82,Home,,-,"1,079"
Belmont,02/18/2010,70,79,Home,,-,"1,679"
Lipscomb,02/20/2010,71,85,Home,,-,982
S.C. Upstate,02/27/2010,65,60,Home,,-,"1,908"
