Miami (OH),11/13/2009,82,71,Home,,-,"3,259"
Buffalo,11/21/2009,69,78,Home,,1 OT,"1,767"
Navy,11/24/2009,70,87,Away,,-,"1,378"
Dayton,11/28/2009,69,74,Away,,-,"12,730"
UMBC,12/02/2009,82,77,Home,,-,"2,893"
Hofstra,12/05/2009,64,84,Home,,-,"1,376"
George Washington,12/12/2009,69,73,Home,,-,"1,558"
Hampton,12/20/2009,82,74,Home,,-,230
Morgan St.,12/22/2009,80,87,Away,,-,988
Bowling Green,12/30/2009,69,70,Home,,-,"1,417"
Georgia St.,01/02/2010,61,70,Away,,-,"1,003"
Old Dominion,01/04/2010,71,87,Home,,-,"1,077"
Hofstra,01/06/2010,61,77,Away,,-,"2,061"
James Madison,01/09/2010,66,69,Away,,-,"3,931"
Drexel,01/13/2010,49,52,Home,,-,"1,112"
Delaware,01/16/2010,71,68,Away,,-,"2,298"
Saint Joseph's,01/18/2010,57,64,Away,,-,"3,717"
Northeastern,01/20/2010,48,73,Home,,-,"1,146"
George Mason,01/23/2010,71,80,Home,,-,"1,988"
VCU,01/27/2010,53,112,Away,,-,"5,384"
UNC Wilmington,01/30/2010,58,53,Away,,-,"4,268"
Drexel,02/02/2010,55,97,Away,,-,"1,218"
James Madison,02/08/2010,81,78,Home,,-,878
UNC Wilmington,02/11/2010,72,80,Home,,-,401
Georgia St.,02/13/2010,74,69,Home,,1 OT,"1,310"
Old Dominion,02/16/2010,67,78,Away,,-,"6,832"
Manhattan,02/20/2010,62,78,Away,,-,"1,011"
William & Mary,02/24/2010,83,77,Away,,-,"3,217"
Delaware,02/27/2010,81,66,Home,,-,"2,094"
UNC Wilmington,03/05/2010,91,74,Neutral,"Richmond, VA",-,"4,854"
Old Dominion,03/06/2010,56,86,Neutral,"Richmond, VA",-,"8,908"
