Cal St. L.A.,11/14/2009,85,57,Home,,-,"1,864"
Weber St.,11/17/2009,66,57,Home,,-,"2,021"
San Francisco,11/23/2009,76,65,Home,,-,"1,786"
Loyola Marymount,11/28/2009,89,84,Away,,-,"1,813"
Santa Clara,12/01/2009,68,79,Home,,-,"1,746"
San Diego St.,12/05/2009,61,69,Home,,-,"2,513"
Montana St.,12/18/2009,64,76,Away,,-,"2,587"
Arizona St.,12/21/2009,42,69,Away,,-,"6,549"
Furman,12/28/2009,72,60,Neutral,"Berkeley, CA",-,"8,405"
California,12/29/2009,66,87,Away,,-,"9,052"
UC Irvine,01/02/2010,55,57,Away,,-,"1,696"
UC Riverside,01/04/2010,57,53,Away,,-,726
UC Davis,01/08/2010,68,47,Home,,-,"4,282"
Pacific,01/10/2010,68,67,Home,,-,"1,550"
Long Beach St.,01/14/2010,47,67,Away,,-,"2,298"
UC Riverside,01/16/2010,63,56,Home,,-,"1,705"
Cal St. Fullerton,01/23/2010,85,80,Home,,1 OT,"2,222"
Cal Poly,01/28/2010,80,57,Home,,-,"3,066"
Cal St. Northridge,01/30/2010,69,76,Away,,-,"1,482"
Pacific,02/04/2010,61,48,Away,,-,"3,578"
UC Davis,02/06/2010,81,77,Away,,-,"2,851"
Long Beach St.,02/13/2010,64,62,Home,,-,"3,228"
Cal St. Fullerton,02/17/2010,73,65,Away,,-,"1,451"
Fresno St.,02/20/2010,64,60,Away,,-,"7,959"
Cal St. Northridge,02/24/2010,74,69,Home,,-,"2,049"
Cal Poly,02/27/2010,57,60,Away,,-,"3,032"
UC Irvine,03/03/2010,77,74,Home,,-,"3,418"
UC Davis,03/12/2010,76,62,Neutral,"Anaheim, CA",-,"2,826"
Long Beach St.,03/13/2010,69,64,Neutral,"Anaheim, CA",-,"3,113"
Ohio St.,03/19/2010,51,68,Neutral,"Milwaukee, WI",-,"17,580"
