name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Britt, Marcus",Sr.,2010-11,G,6-3,30,56,136,0.412,31,78,0.397,16,18,0.889,63,2.100,35,1.167,7,0.233,25,0.833,159,5.300,36
"Bryant, Glenn",So.,2010-11,F,6-7,31,49,97,0.505,2,14,0.143,27,42,0.643,92,2.968,7,0.226,51,1.645,13,0.419,127,4.097,16
"Clarke, Rotnei",Jr.,2010-11,G,6-0,31,144,328,0.439,91,208,0.438,92,107,0.860,94,3.032,49,1.581,1,0.032,24,0.774,471,15.194,38
"Farmer, Jemal",Sr.,2010-11,F,6-5,18,23,56,0.411,5,18,0.278,4,9,0.444,20,1.111,5,0.278,2,0.111,7,0.389,55,3.056,15
"Haydar, Kikko",Fr.,2010-11,G,5-10,9,5,15,0.333,3,8,0.375,3,4,0.750,4,0.444,4,0.444,0,-,4,0.444,16,1.778,1
"Johnson, Delvon",Sr.,2010-11,F,6-9,31,111,204,0.544,0,0,-,75,126,0.595,223,7.194,25,0.806,91,2.935,19,0.613,297,9.581,51
"Mason, Nick",Jr.,2010-11,G,5-10,4,0,1,0.000,0,0,-,0,0,-,1,0.250,0,-,0,-,0,-,0,-,1
"Nobles, Julysses",So.,2010-11,G,6-1,31,80,208,0.385,29,69,0.420,72,102,0.706,87,2.806,92,2.968,2,0.065,35,1.129,261,8.419,77
"Peterson, Jeff",Jr.,2010-11,G,6-0,29,66,169,0.391,19,55,0.345,32,48,0.667,65,2.241,70,2.414,0,-,25,0.862,183,6.310,53
"Powell, Marshawn",So.,2010-11,F,6-7,28,117,251,0.466,7,28,0.250,62,94,0.660,127,4.536,29,1.036,14,0.500,21,0.750,303,10.821,41
"Sanchez, Michael",Jr.,2010-11,F,6-8,20,23,56,0.411,0,0,-,24,41,0.585,48,2.400,10,0.500,2,0.100,10,0.500,70,3.500,23
"Scott, Rickey",Fr.,2010-11,G,6-3,13,17,45,0.378,1,8,0.125,8,12,0.667,14,1.077,14,1.077,1,0.077,9,0.692,43,3.308,12
"Wade, Mardracus",Fr.,2010-11,G,6-2,31,37,98,0.378,9,44,0.205,41,47,0.872,36,1.161,23,0.742,0,-,25,0.806,124,4.000,26
"Waithe, Marvell",Jr.,2010-11,F,6-9,23,28,70,0.400,7,33,0.212,19,33,0.576,76,3.304,10,0.435,11,0.478,8,0.348,82,3.565,19
