name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Black, Cameron",Fr.,2010-11,C,6-10,31,50,95,0.526,0,0,-,27,44,0.614,115,3.710,7,0.226,18,0.581,10,0.323,127,4.097,31
"Brown, Dee",Jr.,2010-11,G,6-3,33,125,275,0.455,26,78,0.333,67,89,0.753,72,2.182,58,1.758,1,0.030,27,0.818,343,10.394,45
"Calhoun, A'uston",So.,2010-11,F,6-7,33,169,388,0.436,12,51,0.235,64,88,0.727,186,5.636,18,0.545,25,0.758,27,0.818,414,12.545,64
"Crawford, Jordon",So.,2010-11,G,5-6,33,95,229,0.415,26,87,0.299,43,59,0.729,67,2.030,132,4.000,0,-,58,1.758,259,7.848,70
"Dabney, Mike",Sr.,2010-11,F,6-8,16,15,28,0.536,0,0,-,15,26,0.577,32,2.000,0,-,13,0.813,4,0.250,45,2.813,10
"Erger, James",So.,2010-11,G,6-6,25,4,23,0.174,1,15,0.067,5,7,0.714,16,0.640,8,0.320,4,0.160,3,0.120,14,0.560,6
"Henderson, Anthony",Fr.,2010-11,G,6-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Jakubowski, Joe",Sr.,2010-11,G,6-2,33,40,105,0.381,22,57,0.386,10,15,0.667,38,1.152,66,2.000,1,0.030,23,0.697,112,3.394,36
"Kraus, Luke",So.,2010-11,G,6-2,33,37,118,0.314,23,75,0.307,30,38,0.789,44,1.333,40,1.212,2,0.061,24,0.727,127,3.848,24
"McElroy, Danny",So.,2010-11,F,6-8,32,72,165,0.436,0,8,0.000,16,31,0.516,104,3.250,9,0.281,11,0.344,19,0.594,160,5.000,50
"Oglesby, Torian",Jr.,2010-11,F,6-7,27,45,81,0.556,0,0,-,17,39,0.436,95,3.519,2,0.074,21,0.778,17,0.630,107,3.963,13
"Roberts, Wiley",Sr.,2010-11,G,5-7,6,1,4,0.250,1,1,1.000,0,2,0.000,0,-,0,-,0,-,0,-,3,0.500,0
"Sealey, Craig",Fr.,2010-11,F,6-6,20,19,37,0.514,0,0,-,10,28,0.357,21,1.050,1,0.050,4,0.200,6,0.300,48,2.400,11
"Thomas, Scott",Jr.,2010-11,F,6-7,32,131,311,0.421,35,119,0.294,60,101,0.594,214,6.688,111,3.469,5,0.156,65,2.031,357,11.156,80
