name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bishop, Rashad",Sr.,2010-11,F,6-6,35,103,249,0.414,42,113,0.372,46,56,0.821,121,3.457,60,1.714,20,0.571,34,0.971,294,8.400,38
"Davis, Larry",Sr.,2010-11,G,6-3,35,56,150,0.373,30,89,0.337,16,22,0.727,36,1.029,33,0.943,0,-,17,0.486,158,4.514,25
"Dixon, Dion",Jr.,2010-11,G,6-3,35,132,318,0.415,48,135,0.356,93,122,0.762,103,2.943,65,1.857,1,0.029,36,1.029,405,11.571,44
"Eppensteiner, Alex",So.,2010-11,G,6-3,7,1,2,0.500,0,0,-,2,2,1.000,0,-,0,-,0,-,1,0.143,4,0.571,0
"Gaines, Kelvin",Fr.,2010-11,C,6-10,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Gates, Yancy",Jr.,2010-11,F,6-9,34,162,317,0.511,4,14,0.286,77,133,0.579,236,6.941,42,1.235,43,1.265,27,0.794,405,11.912,44
"Jackson, Justin",Fr.,2010-11,F,6-8,35,39,74,0.527,1,3,0.333,10,33,0.303,88,2.514,24,0.686,18,0.514,26,0.743,89,2.543,36
"Kilpatrick, Sean",So.,2010-11,G,6-4,35,114,261,0.437,46,122,0.377,65,90,0.722,111,3.171,52,1.486,2,0.057,27,0.771,339,9.686,43
"McBride, Anthony",So.,2010-11,G,6-2,8,0,2,0.000,0,1,0.000,0,0,-,1,0.125,1,0.125,0,-,0,-,0,-,0
"McClain, Anthony",Sr.,2010-11,C,7-0,27,14,26,0.538,0,0,-,14,24,0.583,46,1.704,4,0.148,5,0.185,0,-,42,1.556,6
"Parker, JaQuon",So.,2010-11,G,6-3,23,9,49,0.184,3,20,0.150,14,24,0.583,40,1.739,18,0.783,1,0.043,5,0.217,35,1.522,13
"Thomas, Ibrahima",Sr.,2010-11,F,6-11,35,78,157,0.497,3,28,0.107,42,70,0.600,184,5.257,22,0.629,21,0.600,18,0.514,201,5.743,29
"Tyree, Eddie",Sr.,2010-11,G,5-10,8,1,3,0.333,0,0,-,0,1,0.000,0,-,0,-,0,-,0,-,2,0.250,1
"Wilks, Darnell",Sr.,2010-11,F,6-7,35,41,95,0.432,11,35,0.314,33,52,0.635,91,2.600,38,1.086,16,0.457,20,0.571,126,3.600,35
"Wright, Cashmere",So.,2010-11,G,6-0,35,98,236,0.415,32,91,0.352,84,113,0.743,81,2.314,138,3.943,2,0.057,47,1.343,312,8.914,73
