name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Doughty, Branden",So.,2010-11,F,6-8,28,44,105,0.419,0,2,0.000,12,22,0.545,92,3.286,17,0.607,16,0.571,10,0.357,100,3.571,19
"Edwards, Rodney",Jr.,2010-11,G,6-2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ellis, Akeem",Jr.,2010-11,F,6-6,30,123,313,0.393,56,162,0.346,65,112,0.580,174,5.800,63,2.100,9,0.300,23,0.767,367,12.233,76
"Gallo, Tony",Jr.,2010-11,G,5-11,30,100,275,0.364,51,151,0.338,92,120,0.767,68,2.267,79,2.633,0,-,38,1.267,343,11.433,76
"Goldsberry, Vincent",Sr.,2010-11,G,6-0,28,84,181,0.464,4,16,0.250,60,77,0.779,62,2.214,90,3.214,3,0.107,31,1.107,232,8.286,50
"Harper, Michael",Jr.,2010-11,G,6-3,28,151,322,0.469,64,146,0.438,59,67,0.881,102,3.643,36,1.286,9,0.321,44,1.571,425,15.179,57
"Johnson, Collin",Fr.,2010-11,G,6-4,21,14,32,0.438,5,13,0.385,9,11,0.818,25,1.190,4,0.190,2,0.095,10,0.476,42,2.000,11
"Kucinskas, Ceslovas",Sr.,2010-11,C,6-8,30,59,127,0.465,4,18,0.222,30,51,0.588,109,3.633,6,0.200,7,0.233,19,0.633,152,5.067,27
"Lee, Jordan",So.,2010-11,G,6-4,20,67,169,0.396,38,99,0.384,35,41,0.854,65,3.250,7,0.350,8,0.400,16,0.800,207,10.350,24
"Murray, Michael",Fr.,2010-11,F,6-5,23,31,74,0.419,3,11,0.273,15,22,0.682,50,2.174,5,0.217,6,0.261,11,0.478,80,3.478,9
"Olol, Osman",Jr.,2010-11,F,6-9,7,2,8,0.250,0,1,0.000,1,2,0.500,4,0.571,1,0.143,2,0.286,0,-,5,0.714,3
"Simpson, Mike",Fr.,2010-11,G,6-6,17,10,25,0.400,7,17,0.412,2,6,0.333,11,0.647,4,0.235,0,-,3,0.176,29,1.706,12
"Wiens, Logan",Jr.,2010-11,F,6-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Williams, Antonio",Jr.,2010-11,G,6-6,30,75,139,0.540,0,3,0.000,43,72,0.597,201,6.700,32,1.067,6,0.200,14,0.467,193,6.433,42
