name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Colbert, Ronald",Sr.,2010-11,G,6-2,9,0,3,0.000,0,3,0.000,0,0,-,4,0.444,2,0.222,1,0.111,0,-,0,-,1
"Colds, Gerald",Sr.,2010-11,G,6-0,31,104,300,0.347,27,89,0.303,65,117,0.556,84,2.710,75,2.419,8,0.258,25,0.806,300,9.677,57
"Formbor, Yannick",Sr.,2010-11,F,6-8,22,6,7,0.857,0,0,-,5,8,0.625,33,1.500,5,0.227,1,0.045,2,0.091,17,0.773,8
"Fouch, Chris",So.,2010-11,G,6-0,31,155,409,0.379,62,186,0.333,89,125,0.712,104,3.355,38,1.226,5,0.161,15,0.484,461,14.871,41
"Givens, Samme",Jr.,2010-11,F,6-5,31,152,293,0.519,0,1,0.000,74,140,0.529,313,10.097,33,1.065,26,0.839,20,0.645,378,12.194,59
"Lerner, Jake",Fr.,2010-11,G,6-2,6,0,3,0.000,0,2,0.000,0,2,0.000,5,0.833,0,-,0,-,0,-,0,-,1
"Manojlovic, Stevan",Fr.,2010-11,G,6-5,6,0,3,0.000,0,3,0.000,0,0,-,0,-,0,-,0,-,1,0.167,0,-,0
"Massenat, Frantz",Fr.,2010-11,G,6-4,31,56,134,0.418,9,35,0.257,50,82,0.610,61,1.968,102,3.290,11,0.355,21,0.677,171,5.516,58
"McCoy, Daryl",So.,2010-11,F,6-9,31,73,137,0.533,0,0,-,20,40,0.500,242,7.806,28,0.903,14,0.452,9,0.290,166,5.355,43
"Pantovic, Goran",Fr.,2010-11,F,6-10,6,3,4,0.750,0,0,-,0,0,-,0,-,0,-,0,-,0,-,6,1.000,0
"Ruffin, Dartaye",Fr.,2010-11,F,6-8,31,96,185,0.519,0,0,-,69,107,0.645,230,7.419,10,0.323,15,0.484,18,0.581,261,8.419,47
"Thomas, Derrick",So.,2010-11,G,6-4,31,74,218,0.339,19,59,0.322,48,61,0.787,76,2.452,55,1.774,4,0.129,16,0.516,215,6.935,50
