name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Barrow, Maurice",Fr.,2010-11,F,6-5,33,79,168,0.470,0,0,-,48,82,0.585,189,5.727,43,1.303,18,0.545,26,0.788,206,6.242,59
"Crawford, Sean",Jr.,2010-11,G,5-10,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Edney, Warren",Sr.,2010-11,F,6-5,30,74,172,0.430,9,33,0.273,45,59,0.763,98,3.267,15,0.500,8,0.267,11,0.367,202,6.733,28
"Fields, Jamel",Fr.,2010-11,G,6-1,31,41,101,0.406,11,32,0.344,52,87,0.598,41,1.323,50,1.613,1,0.032,25,0.806,145,4.677,35
"Hawkins, Yorel",Sr.,2010-11,F,6-5,33,133,300,0.443,3,18,0.167,63,83,0.759,178,5.394,44,1.333,9,0.273,45,1.364,332,10.061,42
"Jordan, Lyndon",Sr.,2010-11,G,6-2,32,39,89,0.438,23,58,0.397,12,23,0.522,40,1.250,25,0.781,1,0.031,18,0.563,113,3.531,12
"Martin, Gary",Jr.,2010-11,C,6-2,12,2,9,0.222,1,5,0.200,0,0,-,3,0.250,0,-,0,-,0,-,5,0.417,2
"Matthews, Keith",Fr.,2010-11,F,6-5,33,41,94,0.436,0,1,0.000,18,31,0.581,78,2.364,8,0.242,8,0.242,8,0.242,100,3.030,19
"Needham, Derek",So.,2010-11,G,5-11,33,150,420,0.357,73,236,0.309,91,130,0.700,99,3.000,150,4.545,1,0.030,47,1.424,464,14.061,128
"Nero, Greg",Sr.,2010-11,F,6-7,8,17,40,0.425,1,2,0.500,9,20,0.450,31,3.875,7,0.875,2,0.250,5,0.625,44,5.500,10
"Nickerson, Colin",So.,2010-11,G,6-3,33,67,149,0.450,14,57,0.246,47,68,0.691,98,2.970,74,2.242,1,0.030,63,1.909,195,5.909,54
"Olander, Ryan",Jr.,2010-11,F,6-11,33,134,252,0.532,4,21,0.190,72,116,0.621,223,6.758,36,1.091,69,2.091,23,0.697,344,10.424,52
"Petric, Kristian",Sr.,2010-11,F,6-6,10,0,1,0.000,0,0,-,0,0,-,3,0.300,0,-,0,-,0,-,0,-,2
"Sanders, Rakim",Jr.,2010-11,G,6-5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Wade, Desmond",---,2010-11,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
