name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Demercy, Jordan",---,2010-11,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Dulkys, Deividas",Jr.,2010-11,G,6-5,33,86,235,0.366,55,165,0.333,13,25,0.520,94,2.848,40,1.212,15,0.455,42,1.273,240,7.273,46
"Gibson, Xavier",Jr.,2010-11,F,6-11,25,46,111,0.414,1,13,0.077,24,35,0.686,92,3.680,11,0.440,19,0.760,3,0.120,117,4.680,33
"James, Bernard",Jr.,2010-11,F,6-10,34,117,178,0.657,0,0,-,59,117,0.504,201,5.912,8,0.235,82,2.412,29,0.853,293,8.618,50
"Jordan, Pierre",So.,2010-11,G,6-0,16,3,23,0.130,1,10,0.100,2,2,1.000,11,0.688,6,0.375,0,-,3,0.188,9,0.563,7
"Kitchen, Derwin",Sr.,2010-11,G,6-4,34,125,253,0.494,27,76,0.355,77,102,0.755,196,5.765,121,3.559,3,0.088,56,1.647,354,10.412,68
"Kreft, Jon",Jr.,2010-11,C,7-0,25,28,59,0.475,0,0,-,23,45,0.511,58,2.320,7,0.280,10,0.400,4,0.160,79,3.160,27
"Loucks, Luke",Jr.,2010-11,G,6-5,34,27,79,0.342,16,50,0.320,29,40,0.725,60,1.765,76,2.235,2,0.059,20,0.588,99,2.912,54
"Miller, Ian",Fr.,2010-11,G,6-3,22,45,115,0.391,24,66,0.364,13,14,0.929,36,1.636,19,0.864,0,-,11,0.500,127,5.773,27
"Moreau, Joey",So.,2010-11,G,6-2,6,0,1,0.000,0,0,-,2,2,1.000,1,0.167,0,-,0,-,1,0.167,2,0.333,1
"Portuondo, Rafael",So.,2010-11,G,5-10,5,1,6,0.167,0,4,0.000,1,2,0.500,2,0.400,0,-,0,-,0,-,3,0.600,0
"Rutledge, Andrew",Sr.,2010-11,F,6-6,4,2,6,0.333,1,2,0.500,0,0,-,2,0.500,0,-,0,-,0,-,5,1.250,0
"Shannon, Terrance",So.,2010-11,F,6-8,27,46,115,0.400,0,0,-,36,66,0.545,74,2.741,9,0.333,8,0.296,10,0.370,128,4.741,33
"Singleton, Chris",Jr.,2010-11,F,6-9,28,124,286,0.434,35,95,0.368,84,126,0.667,191,6.821,33,1.179,41,1.464,55,1.964,367,13.107,61
"Snaer, Michael",So.,2010-11,G,6-5,34,106,265,0.400,43,117,0.368,45,58,0.776,92,2.706,76,2.235,8,0.235,30,0.882,300,8.824,84
"White, Okaro",Fr.,2010-11,F,6-7,34,71,160,0.444,9,34,0.265,72,87,0.828,107,3.147,16,0.471,15,0.441,23,0.676,223,6.559,44
"Yawn, Aj",Sr.,2010-11,G,6-0,8,0,11,0.000,0,2,0.000,2,4,0.500,2,0.250,1,0.125,0,-,1,0.125,2,0.250,1
