name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Barbour, Nick",Jr.,2010-11,G,6-3,29,160,395,0.405,68,188,0.362,126,160,0.788,86,2.966,30,1.034,3,0.103,28,0.966,514,17.724,68
"Bridges, Earnest",Sr.,2010-11,F,6-6,25,45,93,0.484,0,1,0.000,31,49,0.633,99,3.960,14,0.560,8,0.320,8,0.320,121,4.840,32
"Burgess, Moses",So.,2010-11,F,6-6,5,0,1,0.000,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Campbell, David",Sr.,2010-11,G,6-4,31,23,61,0.377,6,23,0.261,16,21,0.762,64,2.065,26,0.839,1,0.032,10,0.323,68,2.194,28
"Cheek, Justin",Fr.,2010-11,G,6-3,24,18,63,0.286,8,31,0.258,19,24,0.792,18,0.750,13,0.542,2,0.083,11,0.458,63,2.625,11
"Cox, Tehran",Sr.,2010-11,G,6-1,31,70,185,0.378,18,54,0.333,57,78,0.731,77,2.484,87,2.806,2,0.065,35,1.129,215,6.935,76
"Elliott, Travis",Fr.,2010-11,F,6-8,31,19,68,0.279,0,0,-,15,31,0.484,92,2.968,7,0.226,7,0.226,18,0.581,53,1.710,24
"Hall, Adam",Jr.,2010-11,G,6-2,6,1,2,0.500,0,1,0.000,0,1,0.000,1,0.167,0,-,0,-,1,0.167,2,0.333,0
"Law, Corey",So.,2010-11,F,6-6,21,67,130,0.515,0,0,-,37,81,0.457,160,7.619,7,0.333,18,0.857,18,0.857,171,8.143,24
"Martin, Xavier",Fr.,2010-11,G,5-9,31,41,127,0.323,11,35,0.314,50,76,0.658,31,1.000,22,0.710,0,-,13,0.419,143,4.613,50
"Massoda, Georges",Fr.,2010-11,F,6-8,22,6,15,0.400,0,0,-,3,6,0.500,34,1.545,2,0.091,5,0.227,6,0.273,15,0.682,13
"Maxwell, Du'Vaughn",Fr.,2010-11,F,6-6,25,77,140,0.550,0,0,-,28,53,0.528,140,5.600,18,0.720,35,1.400,27,1.080,182,7.280,43
"Shine, Shay",Jr.,2010-11,G,6-2,31,154,357,0.431,55,136,0.404,79,107,0.738,132,4.258,83,2.677,7,0.226,41,1.323,442,14.258,69
"Simms, Jairus",So.,2010-11,G,6-1,30,18,61,0.295,4,18,0.222,4,9,0.444,15,0.500,32,1.067,0,-,8,0.267,44,1.467,22
"Solomon, Cameron",Fr.,2010-11,G,6-4,9,6,12,0.500,0,3,0.000,5,11,0.455,6,0.667,1,0.111,0,-,2,0.222,17,1.889,1
"Stroman, Joe",So.,2010-11,G,6-1,5,0,1,0.000,0,1,0.000,0,0,-,0,-,0,-,0,-,0,-,0,-,0
