name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bilbo, Paul",Fr.,2010-11,F,6-8,12,1,5,0.200,0,0,-,2,2,1.000,5,0.417,1,0.083,1,0.083,1,0.083,4,0.333,3
"Brown, Roland",Fr.,2010-11,F,6-8,12,3,10,0.300,0,0,-,0,2,0.000,8,0.667,1,0.083,2,0.167,1,0.083,6,0.500,3
"Grogan, Matt",So.,2010-11,G,6-5,13,3,8,0.375,2,4,0.500,0,1,0.000,2,0.154,0,-,1,0.077,0,-,8,0.615,3
"Imes, David",So.,2010-11,F,6-7,33,102,202,0.505,3,12,0.250,44,71,0.620,223,6.758,22,0.667,24,0.727,21,0.636,251,7.606,34
"Jenkins, Charles",Sr.,2010-11,G,6-3,33,249,482,0.517,66,157,0.420,182,221,0.824,111,3.364,158,4.788,21,0.636,57,1.727,746,22.606,73
"Jules, Yves",So.,2010-11,G,6-2,31,24,55,0.436,9,22,0.409,7,10,0.700,24,0.774,11,0.355,0,-,11,0.355,64,2.065,16
"Kelleher, Brad",Sr.,2010-11,G,6-0,25,62,166,0.373,34,101,0.337,29,38,0.763,53,2.120,83,3.320,1,0.040,14,0.560,187,7.480,38
"Lester, Nathaniel",Sr.,2010-11,G,6-4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"McLendon, Shemiye",Fr.,2010-11,G,6-3,32,63,186,0.339,30,96,0.313,40,53,0.755,75,2.344,35,1.094,4,0.125,16,0.500,196,6.125,46
"McMillan, Dwan",Jr.,2010-11,G,6-0,11,26,66,0.394,2,15,0.133,21,31,0.677,21,1.909,36,3.273,1,0.091,22,2.000,75,6.818,22
"Moore, Mike",Jr.,2010-11,G,6-5,33,157,386,0.407,62,175,0.354,115,135,0.852,179,5.424,73,2.212,6,0.182,32,0.970,491,14.879,56
"Nwaukoni, Stephen",Fr.,2010-11,F,6-8,30,18,47,0.383,0,0,-,23,41,0.561,100,3.333,2,0.067,7,0.233,2,0.067,59,1.967,19
"Washington, Greg",Sr.,2010-11,F,6-10,33,105,222,0.473,0,1,0.000,38,53,0.717,174,5.273,26,0.788,73,2.212,34,1.030,248,7.515,26
