name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Asp, Aaron",Fr.,2010-11,G,5-10,17,0,9,0.000,0,5,0.000,8,10,0.800,4,0.235,1,0.059,0,-,1,0.059,8,0.471,3
"Bembry, Terry",Jr.,2010-11,F,6-7,28,99,227,0.436,0,0,-,50,102,0.490,187,6.679,14,0.500,17,0.607,19,0.679,248,8.857,42
"Berry, T.J.",Fr.,2010-11,G,6-2,10,24,48,0.500,12,28,0.429,12,19,0.632,21,2.100,4,0.400,1,0.100,6,0.600,72,7.200,7
"Daniels, Ben",---,2010-11,-,-,20,25,75,0.333,15,53,0.283,7,11,0.636,56,2.800,9,0.450,2,0.100,7,0.350,72,3.600,19
"Dixon, Miles",So.,2010-11,G,6-1,5,24,57,0.421,3,11,0.273,10,11,0.909,18,3.600,8,1.600,3,0.600,9,1.800,61,12.200,17
"Echols, Shawn",Sr.,2010-11,G,6-0,31,71,178,0.399,27,74,0.365,34,60,0.567,68,2.194,55,1.774,0,-,45,1.452,203,6.548,56
"Evans, Jon",Fr.,2010-11,G,5-10,29,26,89,0.292,20,68,0.294,16,20,0.800,42,1.448,40,1.379,2,0.069,16,0.552,88,3.034,39
"Gonzalez, Andrew",Sr.,2010-11,F,6-6,30,204,491,0.415,58,149,0.389,220,270,0.815,166,5.533,67,2.233,14,0.467,47,1.567,686,22.867,104
"Hendrix, Aaron",So.,2010-11,G,6-2,6,1,4,0.250,0,2,0.000,3,4,0.750,2,0.333,1,0.167,0,-,0,-,5,0.833,0
"Hill, Anthony",Jr.,2010-11,G,6-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hinnenkamp, Fred",Sr.,2010-11,F,6-7,31,71,170,0.418,16,61,0.262,20,29,0.690,69,2.226,23,0.742,12,0.387,7,0.226,178,5.742,28
"Moss, Michael",Sr.,2010-11,G,6-0,31,108,265,0.408,28,79,0.354,65,88,0.739,163,5.258,126,4.065,5,0.161,87,2.806,309,9.968,125
"Obetoh, Sammy",Jr.,2010-11,F,6-7,20,42,112,0.375,1,6,0.167,30,80,0.375,79,3.950,8,0.400,12,0.600,10,0.500,115,5.750,35
"Ryan, Sam",Fr.,2010-11,C,6-10,6,2,5,0.400,0,0,-,0,0,-,2,0.333,1,0.167,1,0.167,0,-,4,0.667,5
"Thomas, Lamar",Jr.,2010-11,F,6-9,31,38,88,0.432,0,1,0.000,15,21,0.714,80,2.581,5,0.161,13,0.419,3,0.097,91,2.935,27
