name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Frank, Brian",So.,2010-11,F,6-5,9,1,6,0.167,0,5,0.000,0,0,-,0,-,1,0.111,0,-,1,0.111,2,0.222,0
"Gaines, Eric",Fr.,2010-11,G,6-4,37,44,103,0.427,2,16,0.125,27,53,0.509,92,2.486,17,0.459,6,0.162,31,0.838,117,3.162,22
"Greene, Justin",Jr.,2010-11,F,6-8,37,222,464,0.478,0,1,0.000,127,179,0.709,308,8.324,61,1.649,53,1.432,39,1.054,571,15.432,111
"Grimsley, Alex",Jr.,2010-11,F,6-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Guyton, Carlton",Jr.,2010-11,G,6-4,32,144,320,0.450,55,137,0.401,55,76,0.724,123,3.844,76,2.375,13,0.406,31,0.969,398,12.438,50
"Hartman, Dan",Sr.,2010-11,G,6-2,1,0,1,0.000,0,1,0.000,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Henniger, Mark",Fr.,2010-11,F,6-8,33,21,39,0.538,0,0,-,16,24,0.667,41,1.242,5,0.152,7,0.212,2,0.061,58,1.758,12
"Holt, Randal",So.,2010-11,G,6-1,37,130,335,0.388,66,199,0.332,40,51,0.784,94,2.541,70,1.892,4,0.108,32,0.865,366,9.892,48
"Jackson, Patrick",So.,2010-11,F,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Johnson, Robert",Fr.,2010-11,F,6-6,23,15,49,0.306,2,12,0.167,12,28,0.429,39,1.696,9,0.391,3,0.130,5,0.217,44,1.913,13
"Leonard, Darius",Fr.,2010-11,F,6-9,30,22,61,0.361,9,26,0.346,5,12,0.417,46,1.533,1,0.033,4,0.133,6,0.200,58,1.933,3
"Manns, Justin",Jr.,2010-11,C,6-11,36,73,124,0.589,0,1,0.000,27,48,0.563,160,4.444,8,0.222,42,1.167,16,0.444,173,4.806,20
"Nealy, DeAndre",Jr.,2010-11,F,6-6,13,5,13,0.385,0,0,-,3,6,0.500,20,1.538,2,0.154,0,-,1,0.077,13,1.000,4
"Porrini, Michael",Jr.,2010-11,G,6-2,37,125,315,0.397,22,79,0.278,100,154,0.649,173,4.676,160,4.324,15,0.405,65,1.757,372,10.054,102
"Sherman, Rodriguez",Sr.,2010-11,G,6-3,36,158,347,0.455,46,124,0.371,91,121,0.752,137,3.806,103,2.861,4,0.111,56,1.556,453,12.583,88
"Wilds, Jordan",So.,2010-11,G,6-5,5,0,0,-,0,0,-,1,2,0.500,2,0.400,0,-,0,-,1,0.200,1,0.200,0
