name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bass, Chris",Jr.,2010-11,G,6-0,32,23,73,0.315,1,10,0.100,10,20,0.500,64,2.000,78,2.438,2,0.063,19,0.594,57,1.781,43
"Courtney, Jalen",Fr.,2010-11,F,6-8,15,5,12,0.417,2,4,0.500,4,6,0.667,8,0.533,0,-,1,0.067,0,-,16,1.067,2
"DelPiero, Andrew",So.,2010-11,C,7-2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Derenbecker, Matt",Fr.,2010-11,F,6-7,32,75,197,0.381,36,107,0.336,21,30,0.700,67,2.094,41,1.281,2,0.063,24,0.750,207,6.469,38
"Dotson, Aaron",So.,2010-11,G,6-4,32,61,154,0.396,21,56,0.375,73,104,0.702,87,2.719,47,1.469,7,0.219,16,0.500,216,6.750,57
"Green, Garrett",Jr.,2010-11,F,6-10,32,82,183,0.448,5,19,0.263,33,75,0.440,162,5.063,12,0.375,12,0.375,19,0.594,202,6.313,38
"Hamilton, Justin",So.,2010-11,C,6-11,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Harris, Dennis",So.,2010-11,F,6-10,4,1,4,0.250,0,0,-,0,0,-,5,1.250,0,-,2,0.500,2,0.500,2,0.500,2
"Ludwig, Eddie",So.,2010-11,F,6-9,32,34,77,0.442,2,7,0.286,50,66,0.758,100,3.125,21,0.656,2,0.063,22,0.688,120,3.750,31
"Populist, Daron",So.,2010-11,G,5-10,19,5,21,0.238,3,15,0.200,3,4,0.750,10,0.526,12,0.632,0,-,0,-,16,0.842,3
"Stringer, Andre",Fr.,2010-11,G,5-9,32,101,302,0.334,57,193,0.295,98,127,0.772,76,2.375,85,2.656,4,0.125,34,1.063,357,11.156,82
"Turner, Ralston",Fr.,2010-11,G,6-6,27,110,298,0.369,48,149,0.322,64,91,0.703,71,2.630,43,1.593,4,0.148,17,0.630,332,12.296,61
"Warren, Storm",Jr.,2010-11,F,6-7,29,103,208,0.495,0,1,0.000,17,33,0.515,165,5.690,12,0.414,34,1.172,38,1.310,223,7.690,41
"White, Malcolm",Jr.,2010-11,F,6-9,32,92,202,0.455,0,0,-,59,94,0.628,163,5.094,13,0.406,36,1.125,13,0.406,243,7.594,56
