name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Danish, Greg",Sr.,2010-11,G,5-10,6,1,7,0.143,1,7,0.143,0,0,-,0,-,2,0.333,0,-,0,-,3,0.500,1
"Dunn, Taylor",So.,2010-11,G,6-2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Duren, Tyreek",Fr.,2010-11,G,6-0,33,105,233,0.451,17,53,0.321,95,122,0.779,93,2.818,146,4.424,9,0.273,62,1.879,322,9.758,88
"Guillandeaux, Ruben",So.,2010-11,G,6-6,31,133,333,0.399,59,158,0.373,67,90,0.744,89,2.871,79,2.548,1,0.032,18,0.581,392,12.645,61
"Lopez, Matt",Fr.,2010-11,C,7-0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Mills, Sam",Fr.,2010-11,G,6-2,32,63,155,0.406,30,69,0.435,16,32,0.500,85,2.656,54,1.688,2,0.063,23,0.719,172,5.375,41
"Murray, Aaric",So.,2010-11,C,6-10,32,186,384,0.484,20,57,0.351,93,123,0.756,245,7.656,41,1.281,73,2.281,31,0.969,485,15.156,75
"Pettis, Earl",Jr.,2010-11,G,6-5,33,106,260,0.408,40,108,0.370,47,52,0.904,134,4.061,86,2.606,2,0.061,40,1.212,299,9.061,79
"Sheehan, Matt",Sr.,2010-11,F,6-4,5,0,7,0.000,0,0,-,0,0,-,3,0.600,0,-,0,-,0,-,0,-,2
"Stefan, Cole",Fr.,2010-11,G,6-3,25,36,101,0.356,31,82,0.378,13,14,0.929,28,1.120,20,0.800,3,0.120,6,0.240,116,4.640,9
"Weingarten, Steve",Sr.,2010-11,F,6-8,33,61,117,0.521,7,27,0.259,27,37,0.730,105,3.182,14,0.424,3,0.091,14,0.424,156,4.727,23
"White, Devon",So.,2010-11,C,6-8,33,59,115,0.513,0,0,-,19,33,0.576,104,3.152,8,0.242,33,1.000,14,0.424,137,4.152,21
"Williams, Jerrell",Sr.,2010-11,F,6-8,33,173,358,0.483,3,10,0.300,105,177,0.593,243,7.364,46,1.394,7,0.212,37,1.121,454,13.758,111
