name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Alvarado, Michael",Fr.,2010-11,G,6-2,26,90,261,0.345,14,64,0.219,97,124,0.782,66,2.538,82,3.154,1,0.038,37,1.423,291,11.192,75
"Beamon, George",So.,2010-11,G,6-4,31,180,412,0.437,6,40,0.150,139,188,0.739,189,6.097,41,1.323,15,0.484,45,1.452,505,16.290,64
"Brown, Rhamel",Fr.,2010-11,F,6-6,31,89,176,0.506,0,1,0.000,29,72,0.403,221,7.129,19,0.613,68,2.194,33,1.065,207,6.677,34
"Brutus, Kidani",Jr.,2010-11,G,6-1,31,98,242,0.405,63,158,0.399,36,48,0.750,83,2.677,57,1.839,5,0.161,33,1.065,295,9.516,70
"Colonette, Roberto",Jr.,2010-11,F,6-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Coulibaly, Djibril",Jr.,2010-11,C,6-9,15,16,37,0.432,0,0,-,2,3,0.667,25,1.667,2,0.133,2,0.133,2,0.133,34,2.267,12
"Gabriel, Andrew",Sr.,2010-11,F,6-6,30,37,109,0.339,0,2,0.000,27,44,0.614,80,2.667,23,0.767,8,0.267,11,0.367,101,3.367,48
"Jemison, Demetrius",Sr.,2010-11,F,6-8,22,96,224,0.429,1,2,0.500,35,46,0.761,190,8.636,31,1.409,14,0.636,10,0.455,228,10.364,51
"Koita, Mohamed",So.,2010-11,G,6-4,16,13,45,0.289,9,28,0.321,9,12,0.750,25,1.563,12,0.750,0,-,13,0.813,44,2.750,11
"Laue, Kevin",So.,2010-11,C,6-11,22,12,20,0.600,0,0,-,0,0,-,21,0.955,0,-,5,0.227,0,-,24,1.091,3
"Martina, Robert",Jr.,2010-11,F,6-8,17,17,46,0.370,1,7,0.143,11,14,0.786,27,1.588,7,0.412,5,0.294,2,0.118,46,2.706,8
"McCabe-Moran, Liam",Jr.,2010-11,G,6-5,8,1,7,0.143,1,7,0.143,1,2,0.500,3,0.375,1,0.125,0,-,1,0.125,4,0.500,3
"Sommerfeldt, Torgrim",Fr.,2010-11,F,6-6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Walsh, Nick",Sr.,2010-11,G,5-9,26,28,99,0.283,18,69,0.261,9,12,0.750,17,0.654,25,0.962,1,0.038,13,0.500,83,3.192,32
