name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Allou, Jourdain",Jr.,2010-11,F,6-7,30,41,72,0.569,0,1,0.000,13,35,0.371,93,3.100,6,0.200,13,0.433,7,0.233,95,3.167,25
"Anderson, Cody",Jr.,2010-11,C,6-10,31,56,109,0.514,6,20,0.300,23,34,0.676,101,3.258,13,0.419,7,0.226,9,0.290,141,4.548,19
"Anderson, Tor",Fr.,2010-11,G,6-2,14,3,8,0.375,3,8,0.375,0,1,0.000,7,0.500,2,0.143,0,-,1,0.071,9,0.643,1
"Brumwell, Blake",Fr.,2010-11,C,6-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Budinich, Jeff",Fr.,2010-11,F,6-10,27,23,67,0.343,15,50,0.300,5,6,0.833,40,1.481,3,0.111,7,0.259,4,0.148,66,2.444,6
"Davis, Steven",Fr.,2010-11,F,6-7,5,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Howard, Bobby",Sr.,2010-11,F,6-6,31,159,403,0.395,47,155,0.303,95,154,0.617,223,7.194,54,1.742,9,0.290,27,0.871,460,14.839,60
"Johnson, Tre",Fr.,2010-11,F,6-7,29,33,71,0.465,0,1,0.000,13,25,0.520,62,2.138,9,0.310,19,0.655,10,0.345,79,2.724,18
"McCall, Chris",Fr.,2010-11,G,6-3,26,22,57,0.386,11,28,0.393,12,17,0.706,38,1.462,6,0.231,1,0.038,4,0.154,67,2.577,14
"McIntyre, Ryan",Fr.,2010-11,G,6-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Piepoli, Danny",Sr.,2010-11,F,6-6,31,76,204,0.373,45,133,0.338,35,43,0.814,73,2.355,31,1.000,0,-,17,0.548,232,7.484,38
"Reid, Shawn",Fr.,2010-11,F,6-5,30,60,160,0.375,37,95,0.389,15,31,0.484,74,2.467,15,0.500,6,0.200,15,0.500,172,5.733,23
"Rush, Erik",Sr.,2010-11,G,6-5,31,150,349,0.430,38,126,0.302,129,183,0.705,128,4.129,88,2.839,9,0.290,43,1.387,467,15.065,72
"Singleton, Rod",Jr.,2010-11,G,5-10,31,80,183,0.437,23,55,0.418,62,98,0.633,80,2.581,110,3.548,3,0.097,33,1.065,245,7.903,71
"Trujeque, Casey",Fr.,2010-11,G,5-9,29,13,47,0.277,10,34,0.294,10,10,1.000,24,0.828,37,1.276,1,0.034,9,0.310,46,1.586,21
