name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Ali, Ameer",Jr.,2010-11,F,6-4,29,64,124,0.516,0,1,0.000,50,88,0.568,148,5.103,15,0.517,6,0.207,13,0.448,178,6.138,51
"Banks, Derrick",Fr.,2010-11,G,5-11,14,5,17,0.294,5,13,0.385,3,4,0.750,9,0.643,2,0.143,0,-,2,0.143,18,1.286,9
"Bastfield, Larry",Jr.,2010-11,G,5-11,31,48,134,0.358,17,43,0.395,45,69,0.652,44,1.419,105,3.387,3,0.097,16,0.516,158,5.097,57
"Black, Justin",Fr.,2010-11,G,6-2,31,78,233,0.335,31,106,0.292,35,53,0.660,52,1.677,64,2.065,2,0.065,30,0.968,222,7.161,60
"Braswell, Adam",So.,2010-11,G,6-2,17,8,20,0.400,8,18,0.444,1,2,0.500,7,0.412,7,0.412,0,-,4,0.235,25,1.471,5
"Brooks, Aric",Jr.,2010-11,F,6-6,30,82,227,0.361,15,49,0.306,126,159,0.792,131,4.367,63,2.100,9,0.300,28,0.933,305,10.167,74
"Childs, Ian",Fr.,2010-11,C,7-2,19,9,20,0.450,0,0,-,6,11,0.545,15,0.789,2,0.105,3,0.158,1,0.053,24,1.263,4
"Jackson, DeWayne",So.,2010-11,F,6-8,31,153,378,0.405,47,180,0.261,96,130,0.738,143,4.613,44,1.419,22,0.710,44,1.419,449,14.484,73
"Jackson, Justin",Fr.,2010-11,G,5-10,16,5,14,0.357,0,4,0.000,1,2,0.500,6,0.375,7,0.438,0,-,3,0.188,11,0.688,4
"Johnson, Gene",Sr.,2010-11,F,6-7,30,13,34,0.382,0,0,-,7,10,0.700,35,1.167,5,0.167,6,0.200,7,0.233,33,1.100,7
"Lawal, Tola",Jr.,2010-11,G,6-3,26,20,55,0.364,0,1,0.000,28,35,0.800,26,1.000,10,0.385,0,-,10,0.385,68,2.615,16
"Lockhart, Jake",Fr.,2010-11,G,6-4,7,0,1,0.000,0,1,0.000,0,0,-,0,-,0,-,0,-,0,-,0,-,1
"Scott, Dominique",Sr.,2010-11,G,5-10,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Stokes, Rodney",Sr.,2010-11,F,6-10,31,68,132,0.515,0,0,-,29,44,0.659,110,3.548,13,0.419,28,0.903,12,0.387,165,5.323,23
"Thompson, Kevin",Jr.,2010-11,F,6-9,31,155,298,0.520,0,0,-,95,159,0.597,283,9.129,35,1.129,39,1.258,22,0.710,405,13.065,79
