name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Diaz, Andres",So.,2010-11,F,6-7,34,149,265,0.562,0,0,-,64,128,0.500,187,5.500,31,0.912,36,1.059,42,1.235,362,10.647,94
"Granberry, Jerron",So.,2010-11,G,6-4,34,107,317,0.338,70,214,0.327,123,146,0.842,110,3.235,48,1.412,6,0.176,24,0.706,407,11.971,66
"Groothuis, Kyle",Sr.,2010-11,F,6-7,16,5,10,0.500,0,0,-,2,12,0.167,11,0.688,2,0.125,3,0.188,6,0.375,12,0.750,5
"Haugabrook, Brad",Sr.,2010-11,G,6-0,34,93,228,0.408,6,28,0.214,35,53,0.660,73,2.147,113,3.324,2,0.059,15,0.441,227,6.676,89
"Holmes, Brian",Fr.,2010-11,G,6-1,17,17,40,0.425,3,9,0.333,17,27,0.630,24,1.412,15,0.882,0,-,6,0.353,54,3.176,30
"Jeune, David",So.,2010-11,F,6-6,34,46,95,0.484,1,5,0.200,34,56,0.607,147,4.324,11,0.324,13,0.382,16,0.471,127,3.735,39
"McRoy, Charles",Fr.,2010-11,F,6-6,32,40,92,0.435,10,33,0.303,14,22,0.636,62,1.938,9,0.281,4,0.125,13,0.406,104,3.250,30
"Sauey, Matt",Jr.,2010-11,F,6-7,31,81,126,0.643,1,2,0.500,27,38,0.711,112,3.613,16,0.516,28,0.903,20,0.645,190,6.129,36
"Smith, Parker",So.,2010-11,G,6-3,34,116,317,0.366,90,256,0.352,87,101,0.861,74,2.176,23,0.676,5,0.147,21,0.618,409,12.029,59
"Wallace, Travis",So.,2010-11,F,6-6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Williams, Jimmy",Fr.,2010-11,G,6-4,34,95,221,0.430,20,64,0.313,77,141,0.546,172,5.059,82,2.412,9,0.265,28,0.824,287,8.441,88
"Wilson, Will",So.,2010-11,G,5-10,30,9,30,0.300,2,5,0.400,9,16,0.563,16,0.533,54,1.800,0,-,10,0.333,29,0.967,27
