name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Edwards, Alonzo",Jr.,2010-11,F,6-7,30,24,49,0.490,0,1,0.000,21,35,0.600,56,1.867,6,0.200,4,0.133,2,0.067,69,2.300,22
"Egenti, Jamie",Sr.,2010-11,F,6-8,6,1,3,0.333,0,0,-,3,5,0.600,1,0.167,0,-,0,-,0,-,5,0.833,0
"Hall, Tyler",Jr.,2010-11,G,6-2,9,6,13,0.462,5,10,0.500,5,6,0.833,6,0.667,3,0.333,0,-,0,-,22,2.444,3
"Hogans, Kedrick",Jr.,2010-11,F,6-7,33,112,195,0.574,0,0,-,55,104,0.529,122,3.697,25,0.758,31,0.939,18,0.545,279,8.455,49
"Holmen, Jacob",So.,2010-11,F,6-8,26,58,134,0.433,12,34,0.353,24,32,0.750,78,3.000,12,0.462,3,0.115,5,0.192,152,5.846,17
"Johnson, Dominique",Sr.,2010-11,G,5-10,33,105,232,0.453,49,117,0.419,78,91,0.857,65,1.970,105,3.182,0,-,28,0.848,337,10.212,69
"Knox, Ben",So.,2010-11,C,6-10,32,22,44,0.500,0,0,-,6,17,0.353,58,1.813,4,0.125,13,0.406,4,0.125,50,1.563,16
"Odufuwa, George",Sr.,2010-11,F,6-8,32,134,244,0.549,0,1,0.000,89,134,0.664,333,10.406,50,1.563,19,0.594,22,0.688,357,11.156,73
"Redmond, Avery",Fr.,2010-11,G,6-0,14,1,2,0.500,0,0,-,5,8,0.625,2,0.143,1,0.071,0,-,1,0.071,7,0.500,3
"Shorter, Shannon",Sr.,2010-11,G,6-4,33,75,166,0.452,7,38,0.184,64,80,0.800,134,4.061,53,1.606,3,0.091,16,0.485,221,6.697,48
"Spencer, Cameron",Sr.,2010-11,F,6-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Thompson, Tristan",Sr.,2010-11,G,6-5,33,158,344,0.459,66,158,0.418,211,253,0.834,105,3.182,59,1.788,4,0.121,24,0.727,593,17.970,74
"White, Josh",Sr.,2010-11,G,5-10,32,135,309,0.437,40,115,0.348,114,135,0.844,73,2.281,89,2.781,0,-,19,0.594,424,13.250,64
"Williams, Alzee",So.,2010-11,G,6-4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
