name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Capocci, Mike",Sr.,2010-11,F,6-6,32,20,41,0.488,2,6,0.333,12,18,0.667,55,1.719,22,0.688,6,0.188,16,0.500,54,1.688,11
"Cobb, JerShon",Fr.,2010-11,G,6-4,27,72,185,0.389,23,76,0.303,32,44,0.727,82,3.037,41,1.519,2,0.074,19,0.704,199,7.370,22
"Crawford, Drew",So.,2010-11,G,6-5,34,156,369,0.423,53,162,0.327,45,63,0.714,160,4.706,68,2.000,22,0.647,31,0.912,410,12.059,45
"Curletti, Davide",Jr.,2010-11,F,6-9,34,45,98,0.459,9,27,0.333,37,48,0.771,66,1.941,35,1.029,13,0.382,7,0.206,136,4.000,15
"Fruendt, Nick",Jr.,2010-11,G,6-5,20,14,28,0.500,3,11,0.273,9,13,0.692,16,0.800,6,0.300,2,0.100,6,0.300,40,2.000,4
"Hearn, Reggie",So.,2010-11,G,6-4,19,5,13,0.385,2,6,0.333,7,8,0.875,4,0.211,3,0.158,1,0.053,2,0.105,19,1.000,3
"Marcotullio, Alex",So.,2010-11,G,6-3,34,69,167,0.413,45,126,0.357,29,41,0.707,84,2.471,73,2.147,4,0.118,34,1.000,212,6.235,36
"Mirkovic, Luka",Jr.,2010-11,C,6-11,34,95,185,0.514,9,21,0.429,54,81,0.667,177,5.206,77,2.265,24,0.706,19,0.559,253,7.441,47
"Nichols, Austin",So.,2010-11,G,6-0,16,1,5,0.200,0,3,0.000,0,1,0.000,3,0.188,3,0.188,0,-,2,0.125,2,0.125,2
"Peljusic, Ivan",Sr.,2010-11,F,6-8,17,9,15,0.600,2,3,0.667,0,1,0.000,13,0.765,4,0.235,1,0.059,3,0.176,20,1.176,8
"Ryan, Jeff",Sr.,2010-11,F,6-6,10,2,7,0.286,1,2,0.500,7,8,0.875,18,1.800,6,0.600,1,0.100,3,0.300,12,1.200,3
"Shurna, John",Jr.,2010-11,F,6-8,32,176,366,0.481,75,173,0.434,104,147,0.707,157,4.906,83,2.594,31,0.969,36,1.125,531,16.594,58
"Thompson, Michael",Sr.,2010-11,G,5-10,34,189,418,0.452,95,242,0.393,80,97,0.825,74,2.176,147,4.324,2,0.059,49,1.441,553,16.265,65
