name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Abromaitis, Tim",Sr.,2010-11,F,6-8,34,169,371,0.456,78,182,0.429,109,139,0.784,206,6.059,61,1.794,15,0.441,26,0.765,525,15.441,52
"Atkins, Eric",Fr.,2010-11,G,6-2,34,61,150,0.407,23,66,0.348,53,76,0.697,62,1.824,110,3.235,1,0.029,21,0.618,198,5.824,43
"Broghammer, Mike",So.,2010-11,F,6-9,10,8,20,0.400,0,0,-,2,6,0.333,10,1.000,1,0.100,2,0.200,0,-,18,1.800,2
"Brooks, Joey",So.,2010-11,G,6-6,27,12,34,0.353,1,13,0.077,17,37,0.459,29,1.074,11,0.407,0,-,10,0.370,42,1.556,15
"Cooley, Jack",So.,2010-11,F,6-9,34,55,84,0.655,0,0,-,15,29,0.517,106,3.118,11,0.324,18,0.529,8,0.235,125,3.676,11
"Dragicevich, Alex",Fr.,2010-11,G,6-8,14,5,17,0.294,2,10,0.200,8,13,0.615,11,0.786,3,0.214,0,-,1,0.071,20,1.429,2
"Grant, Jerian",Fr.,2010-11,G,6-5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hansbrough, Ben",Sr.,2010-11,G,6-3,34,194,405,0.479,87,200,0.435,150,184,0.815,131,3.853,145,4.265,4,0.118,41,1.206,625,18.382,81
"Knight, Tom",So.,2010-11,F,6-10,14,9,19,0.474,0,0,-,2,2,1.000,16,1.143,3,0.214,2,0.143,0,-,20,1.429,1
"Kopko, Tom",Sr.,2010-11,G,6-2,12,2,9,0.222,1,5,0.200,1,2,0.500,3,0.250,3,0.250,0,-,0,-,6,0.500,0
"Martin, Scott",Sr.,2010-11,G,6-8,33,115,269,0.428,34,102,0.333,55,86,0.640,158,4.788,61,1.848,10,0.303,16,0.485,319,9.667,51
"Nash, Tyrone",Sr.,2010-11,F,6-8,34,96,197,0.487,1,2,0.500,131,190,0.689,201,5.912,90,2.647,19,0.559,10,0.294,324,9.529,53
"Scott, Carleton",Sr.,2010-11,F,6-8,30,117,257,0.455,46,128,0.359,56,63,0.889,223,7.433,64,2.133,57,1.900,23,0.767,336,11.200,41
