name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bogan, Will",So.,2010-11,G,6-1,13,3,9,0.333,2,6,0.333,2,2,1.000,2,0.154,5,0.385,0,-,0,-,10,0.769,2
"Buckner, Reginald",So.,2010-11,F,6-9,33,95,160,0.594,1,2,0.500,34,78,0.436,212,6.424,21,0.636,95,2.879,19,0.576,225,6.818,53
"Cox, Demarco",Fr.,2010-11,C,6-8,29,16,34,0.471,0,0,-,14,24,0.583,54,1.862,2,0.069,9,0.310,5,0.172,46,1.586,14
"Gaskins, Trevor",Jr.,2010-11,G,6-2,31,67,170,0.394,32,86,0.372,24,35,0.686,87,2.806,60,1.935,2,0.065,27,0.871,190,6.129,44
"Graham, Zach",Sr.,2010-11,G,6-6,34,164,384,0.427,47,142,0.331,108,124,0.871,153,4.500,51,1.500,17,0.500,27,0.794,483,14.206,51
"Henry, Terrance",Jr.,2010-11,F,6-10,34,120,245,0.490,12,37,0.324,77,108,0.713,205,6.029,41,1.206,36,1.059,25,0.735,329,9.676,83
"Hughes, Dale",---,2010-11,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Massey, Isaiah",Fr.,2010-11,F,6-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Nelson, Dundrecous",Fr.,2010-11,G,5-11,34,77,198,0.389,44,122,0.361,46,59,0.780,51,1.500,48,1.412,4,0.118,19,0.559,244,7.176,53
"Norman, Will",Fr.,2010-11,G,6-5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Short, Steadman",Jr.,2010-11,F,6-9,33,46,83,0.554,0,0,-,15,32,0.469,125,3.788,9,0.273,12,0.364,11,0.333,107,3.242,20
"Shorter, Brock",Jr.,2010-11,F,6-7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Warren, Chris",Sr.,2010-11,G,5-10,34,193,479,0.403,95,279,0.341,168,181,0.928,76,2.235,128,3.765,3,0.088,23,0.676,649,19.088,72
"Williams, Donald",So.,2010-11,G,6-5,9,8,15,0.533,4,8,0.500,0,0,-,5,0.556,0,-,0,-,1,0.111,20,2.222,4
"Williams, Nick",So.,2010-11,G,6-4,34,79,187,0.422,23,58,0.397,29,41,0.707,136,4.000,50,1.471,2,0.059,23,0.676,210,6.176,38
