name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Agre, Denis",Sr.,2010-11,C,6-8,9,3,4,0.750,0,0,-,0,0,-,11,1.222,0,-,0,-,0,-,6,0.667,1
"Bell, Keion",Jr.,2010-11,G,6-3,20,112,271,0.413,34,106,0.321,120,160,0.750,81,4.050,48,2.400,3,0.150,15,0.750,378,18.900,83
"Branning, Richard",Jr.,2010-11,G,6-2,2,1,1,1.000,1,1,1.000,0,0,-,1,0.500,0,-,0,-,0,-,3,1.500,0
"Clardy, Gus",Sr.,2010-11,F,6-8,32,28,58,0.483,0,0,-,17,26,0.654,106,3.313,17,0.531,7,0.219,12,0.375,73,2.281,14
"Darby, Taylor",Jr.,2010-11,F,6-7,33,96,187,0.513,0,0,-,61,113,0.540,183,5.545,19,0.576,6,0.182,17,0.515,253,7.667,43
"Dupre', Jonathan",Sr.,2010-11,F,6-8,24,51,122,0.418,8,25,0.320,12,18,0.667,65,2.708,8,0.333,10,0.417,9,0.375,122,5.083,19
"Harold, Hector",Fr.,2010-11,F,6-7,16,4,22,0.182,2,13,0.154,6,7,0.857,9,0.563,5,0.313,1,0.063,1,0.063,16,1.000,6
"Jackson, Lorne",Jr.,2010-11,G,6-2,33,145,319,0.455,39,115,0.339,106,136,0.779,96,2.909,96,2.909,5,0.152,52,1.576,435,13.182,86
"Kerry, Tanner",So.,2010-11,F,6-9,10,1,4,0.250,0,0,-,4,4,1.000,3,0.300,3,0.300,2,0.200,0,-,6,0.600,1
"Lowery, Joshua",So.,2010-11,G,6-2,33,52,130,0.400,12,35,0.343,68,87,0.782,81,2.455,94,2.848,6,0.182,25,0.758,184,5.576,46
"Maehlen, Jan",Fr.,2010-11,C,7-0,18,6,14,0.429,0,0,-,3,10,0.300,25,1.389,3,0.167,3,0.167,1,0.056,15,0.833,9
"Martin, Don",Jr.,2010-11,G,6-4,2,0,1,0.000,0,0,-,0,0,-,0,-,1,0.500,0,-,0,-,0,-,1
"Moore, Corbin",Jr.,2010-11,C,6-10,33,63,117,0.538,0,0,-,23,32,0.719,122,3.697,15,0.455,16,0.485,11,0.333,149,4.515,23
"Suttle Jr., Dane",Jr.,2010-11,G,6-6,33,45,109,0.413,23,56,0.411,17,25,0.680,45,1.364,18,0.545,5,0.152,7,0.212,130,3.939,33
"Thompson, Mychel",Sr.,2010-11,F,6-7,33,167,462,0.361,53,176,0.301,95,123,0.772,194,5.879,62,1.879,33,1.000,36,1.091,482,14.606,58
"Willis, Caleb",So.,2010-11,G,6-2,24,13,34,0.382,5,14,0.357,6,8,0.750,21,0.875,19,0.792,0,-,7,0.292,37,1.542,15
