name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Adu, Marvin",Jr.,2010-11,F,6-8,12,1,3,0.333,0,0,-,2,4,0.500,6,0.500,1,0.083,0,-,1,0.083,4,0.333,4
"Bell, Cortney",So.,2010-11,F,6-6,29,60,130,0.462,1,3,0.333,26,53,0.491,147,5.069,12,0.414,24,0.828,11,0.379,147,5.069,33
"Champman, Demondre",Fr.,2010-11,F,6-7,29,35,81,0.432,0,0,-,20,52,0.385,66,2.276,7,0.241,15,0.517,13,0.448,90,3.103,25
"Griffin, Michael",Jr.,2010-11,G,5-8,27,86,268,0.321,33,113,0.292,28,45,0.622,78,2.889,92,3.407,0,-,40,1.481,233,8.630,65
"Kornegay, Duwan",Sr.,2010-11,G,6-5,32,87,208,0.418,30,92,0.326,28,47,0.596,160,5.000,18,0.563,8,0.250,18,0.563,232,7.250,23
"Lewis, Kendall",Fr.,2010-11,G,6-6,15,1,7,0.143,1,2,0.500,0,0,-,10,0.667,2,0.133,3,0.200,0,-,3,0.200,5
"Meadows, Tim",Jr.,2010-11,G,6-3,30,58,171,0.339,21,74,0.284,29,40,0.725,116,3.867,24,0.800,4,0.133,25,0.833,166,5.533,32
"Munoz, Jacob",Fr.,2010-11,G,5-9,1,0,0,-,0,0,-,0,0,-,0,-,0,-,0,-,0,-,0,-,0
"Rogers, Beloved",So.,2010-11,G,6-2,31,48,166,0.289,31,109,0.284,16,24,0.667,54,1.742,26,0.839,3,0.097,8,0.258,143,4.613,35
"Sights, Chris",So.,2010-11,G,6-0,30,16,64,0.250,3,16,0.188,6,10,0.600,35,1.167,28,0.933,0,-,8,0.267,41,1.367,28
"Simpson, Trant",Sr.,2010-11,G,5-10,32,140,418,0.335,61,182,0.335,82,112,0.732,111,3.469,90,2.813,0,-,43,1.344,423,13.219,83
"Walker, Aron",Jr.,2010-11,C,6-11,24,21,46,0.457,0,0,-,15,25,0.600,32,1.333,0,-,5,0.208,2,0.083,57,2.375,9
"Webb, Brandon",Sr.,2010-11,F,6-7,32,122,211,0.578,0,0,-,63,131,0.481,167,5.219,20,0.625,46,1.438,20,0.625,307,9.594,74
"Webb, Michael",So.,2010-11,F,6-7,25,24,36,0.667,0,0,-,16,29,0.552,46,1.840,4,0.160,10,0.400,6,0.240,64,2.560,13
"Wherry, Jeff",Fr.,2010-11,G,5-8,31,34,111,0.306,21,80,0.263,12,24,0.500,59,1.903,42,1.355,1,0.032,18,0.581,101,3.258,34
