name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Barrett, Will",So.,2010-11,F,6-10,20,12,29,0.414,5,16,0.313,12,18,0.667,33,1.650,10,0.500,8,0.400,6,0.300,41,2.050,13
"Bray, T.J.",Fr.,2010-11,G,6-6,32,16,37,0.432,3,14,0.214,13,19,0.684,53,1.656,20,0.625,1,0.031,14,0.438,48,1.500,16
"Buczak, Pawel",---,2010-11,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Clement, Chris",Fr.,2010-11,G,6-2,8,1,2,0.500,0,1,0.000,4,5,0.800,2,0.250,1,0.125,0,-,2,0.250,6,0.750,1
"Comfort, John",Jr.,2010-11,F,6-8,6,4,6,0.667,0,1,0.000,1,3,0.333,3,0.500,2,0.333,0,-,0,-,9,1.500,0
"Connolly, Brendan",So.,2010-11,C,6-11,31,39,78,0.500,0,0,-,20,28,0.714,83,2.677,30,0.968,11,0.355,6,0.194,98,3.161,22
"Darrow, Mack",So.,2010-11,F,6-9,31,43,104,0.413,20,57,0.351,28,35,0.800,79,2.548,50,1.613,8,0.258,12,0.387,134,4.323,22
"Davis, Douglas",Jr.,2010-11,G,5-11,32,131,336,0.390,69,179,0.385,51,67,0.761,56,1.750,55,1.719,1,0.031,38,1.188,382,11.938,47
"Edwards, Daniel",Fr.,2010-11,F,6-8,6,2,6,0.333,0,0,-,0,4,0.000,4,0.667,0,-,0,-,2,0.333,4,0.667,1
"Foley, Bobby",Sr.,2010-11,G,6-5,14,5,10,0.500,5,10,0.500,0,0,-,1,0.071,0,-,0,-,0,-,15,1.071,3
"Gabel, Gus",---,2010-11,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hazel, Ben",Fr.,2010-11,G,6-5,18,3,14,0.214,2,12,0.167,7,11,0.636,20,1.111,3,0.167,2,0.111,1,0.056,15,0.833,4
"Hummer, Ian",So.,2010-11,F,6-7,32,180,324,0.556,0,0,-,81,126,0.643,216,6.750,61,1.906,36,1.125,36,1.125,441,13.781,70
"Maddox, Kareem",Sr.,2010-11,F,6-8,32,158,278,0.568,1,7,0.143,126,161,0.783,224,7.000,80,2.500,55,1.719,27,0.844,443,13.844,65
"Mavraides, Dan",Sr.,2010-11,G,6-4,32,126,318,0.396,61,158,0.386,94,118,0.797,148,4.625,88,2.750,4,0.125,36,1.125,407,12.719,88
"Noonan, Tom",Fr.,2010-11,F,6-9,4,1,4,0.250,0,2,0.000,0,0,-,1,0.250,1,0.250,1,0.250,0,-,2,0.500,0
"Saunders, Patrick",Jr.,2010-11,F,6-8,31,66,144,0.458,27,73,0.370,9,14,0.643,95,3.065,22,0.710,6,0.194,9,0.290,168,5.419,26
"Sherburne, Jimmy",So.,2010-11,G,6-3,15,1,6,0.167,0,1,0.000,0,0,-,10,0.667,4,0.267,0,-,2,0.133,2,0.133,5
