name,school_year,year,position,height,G,field_goals_made,field_goal_attempts,field_goal_percent,three_pointers_made,three_pointer_attempts,three_pointer_percent,free_throws_made,free_throws_attempts,free_throw_percent,rebounds,rebounds_average,assists,assists_average,blocks,blocks_average,steals,steals_average,points,points_average,turnovers
"Bacon, Ryan",Sr.,2010-11,F,6-6,31,119,227,0.524,0,1,0.000,71,111,0.640,230,7.419,30,0.968,65,2.097,36,1.161,309,9.968,61
"Belin, Jeron",Sr.,2010-11,F,6-6,34,134,349,0.384,26,95,0.274,101,176,0.574,178,5.235,28,0.824,21,0.618,30,0.882,395,11.618,82
"Burke, Chris",Fr.,2010-11,G,6-4,29,10,37,0.270,3,17,0.176,9,13,0.692,24,0.828,5,0.172,6,0.207,10,0.345,32,1.103,14
"Conley, Darius",So.,2010-11,F,6-7,34,79,168,0.470,0,2,0.000,53,86,0.616,170,5.000,20,0.588,25,0.735,30,0.882,211,6.206,41
"Costner, Jordan",Sr.,2010-11,F,6-6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ffrench, Blaise",So.,2010-11,G,6-2,19,18,53,0.340,0,4,0.000,7,16,0.438,25,1.316,26,1.368,0,-,7,0.368,43,2.263,29
"Grant, Kelsey",So.,2010-11,G,6-1,7,2,4,0.500,0,0,-,0,0,-,3,0.429,0,-,0,-,0,-,4,0.571,1
"Hall, Brandon",Jr.,2010-11,G,6-1,29,7,31,0.226,0,9,0.000,7,11,0.636,30,1.034,44,1.517,0,-,24,0.828,21,0.724,19
"Hill, Jack",Jr.,2010-11,F,6-8,30,5,14,0.357,0,0,-,3,6,0.500,29,0.967,4,0.133,10,0.333,2,0.067,13,0.433,9
"Jenkins, Wesley",Sr.,2010-11,G,5-11,27,102,278,0.367,65,162,0.401,72,94,0.766,130,4.815,43,1.593,13,0.481,33,1.222,341,12.630,54
"Leon, Nick",Sr.,2010-11,G,5-11,33,106,304,0.349,59,161,0.366,72,85,0.847,73,2.212,104,3.152,1,0.030,33,1.000,343,10.394,82
"Prescott, Chris",---,2010-11,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Raymond, Yvon",So.,2010-11,G,6-3,30,43,104,0.413,6,16,0.375,23,43,0.535,85,2.833,32,1.067,4,0.133,22,0.733,115,3.833,34
"Samuels, Steven",So.,2010-11,G,6-4,34,88,213,0.413,38,106,0.358,28,52,0.538,108,3.176,47,1.382,9,0.265,36,1.059,242,7.118,70
